id	segmented_sentence	merged_word
1	３年  前  注册  资本  仅  ２００多万元人民币  ，  一年  中  却  在  七八家  银行  先后  #开 立#  远期  信用证  ，  金额  ４０００多万美元  ，  多次  用  麻袋  、  手提包  装  着  几百万  因  走私  等  收回  的  人民币  现钞  去  银行  “  还  钱  赎  单  ”  ，  建立  了  “  良好  的  信誉  ”  。	开立
2	被  卷入  假  进口  案  为  其  代理  #开 立#  远期  信用证  的  几家  国有  进出口  公司  ，  不仅  没  挣  到  那  点  可怜  的  代理费  ，  还  因为  开  证  还  不  上  巨额  承兑  费用  ，  纷纷  背  上  债务  ，  难以  自拔  。	开立
3	林  ×  ×  还  以  同样  方式  先后  骗取  大连  、  武汉  、  重庆  等  地  的  企业  和  银行  #开 立#  远期  信用证  融资  上千万美元  ，  经  香港  辗转  国内  用于  房地产  等  方面  。	开立
4	更  令人  担心  的  是  ，  一些  银行  工作人员  和  国有  进出口  公司  在  有意无意  地  充当  着  诈骗  者  的  帮手  和  #垫 背#  。	垫背
5	这  台  演出  有着  完整  的  音乐  结构  ，  音乐  和  歌曲  都是  专门  创作  的  ，  具有  特殊  的  剧情  内涵  ，  很  像  一  台  #音乐 剧#  。	音乐剧
6	毕业  后  进入  戏剧  界  ，  这  使  她  后来  在  各种  艺术  门类  节目  创作  #中 常#  融入  戏剧化  的  场景  ，  构成  特有  的  艺术  魅力  。	中常
7	“  三  能  #三 不#  ”  告诉  人们  ，  动  就  比  不  动  强  ，  费力  的  动  比  省力  的  动  更  有  意义  。	三不
8	“  三  能  三  不  ”  告诉  人们  ，  动  就  比  #不 动#  强  ，  费力  的  动  比  省力  的  动  更  有  意义  。	不动
9	“  三  能  三  不  ”  告诉  人们  ，  动  就  比  不  动  强  ，  费力  的  动  比  省力  的  动  更  #有 意义#  。	有意义
10	“  三  能  #三 不#  ”  即  能  骑车  不  坐车  ，  能  走路  不  骑车  ，  能  爬  楼梯  不  坐  电梯  。	三不
11	“  三  能  三  不  ”  即  能  骑车  不  坐车  ，  能  走路  不  骑车  ，  能  爬  楼梯  不  #坐 电梯#  。	坐电梯
12	他们  认为  获取  健康  #应 从#  身边  点滴  做  起  。	应从
13	描写  婚姻  生活  的  《  八世  夫妻  》  #源 于#  一个  神话  传说  ：  玉皇大帝  座  前  的  金  童  玉  女  违犯  天  规  ，  被  贬  到  人间  苦  恋  七世  。	源于
14	这是  演出  的  #出品 人#  资产新闻实业有限公司  继  “  激情  中国  舞  ”  之后  策划  的  又  一  校园  艺术  系列  活动  。	出品人
15	２  ．  添加  去除  牙  渍  的  化学  成分  ，  可  有效  祛除  沉着  在  牙  面  上  的  烟  渍  、  咖啡  渍  、  茶  渍  等  #色 斑#  。	色斑
16	首先  ，  在  牙膏  中  加入  了  摩擦  剂  ，  加强  了  清洁  磨光  牙齿  表面  的  作用  ；  进而  为了  增强  预防  龋齿  和  牙  周  疾病  的  效果  ，  在  牙膏  中  又  加入  了  各种  药物  成分  ，  如  氟化物  牙膏  、  #脱 敏#  牙膏  、  中药  牙膏  等  。	脱敏
