id	segmented_sentence	merged_word
1	上级  部门  以前  #还 给#  我们  一些  技术  、  产品  等  方面  的  信息  ，  现在  全  没有  了  。	还给
2	然而  ，  记者  在  采访  时  却  发现  ，  有些  地方  “  放  小  ”  工作  一直  抓  #得 很#  紧  ，  但  对于  “  放  小  ”  之后  的  “  帮  小  ”  工作  却  注意  不够  。	得很
3	#据 统计#  ，  全县  共  追回  贪污  挪用  款  近  １００万元  ，  退回  乱  补  乱发  、  公款  吃喝  款  ７．１５万元  ，  有  ７６名  村  干部  受到  党纪  、  政纪  处分  ，  ４名  有  严重  经济  问题  的  村  干部  移交  司法  机关  。	据统计
4	每月  定期  召开  一次  “  村民  议事  会  ”  ，  内容  涉及  财务  收支  、  征购  提留  、  计划生育  、  #电 价#  电费  、  宅基地  审批  、  村  办  企业  招标  承包  、  公益  事业  集资  捐款  、  救灾  钱  物  等  。	电价
5	每月  定期  召开  一次  “  村民  议事  会  ”  ，  内容  涉及  财务  收支  、  征购  提留  、  计划生育  、  电  价  电费  、  宅基地  审批  、  村  办  企业  招标  承包  、  公益  事业  集资  捐款  、  救灾  #钱 物#  等  。	钱物
6	近  ５年  共  完成  ５０个  #大 项#  、  ３００多个  子  项  的  办  实事  任务  ，  使  群众  得到  了  实惠  。	大项
7	原来  的  “  #三级 跳#  坑  ”  变成  了  一  座  座  造型  新颖  、  环境  优美  的  楼房  。	三级跳
8	当  我们  走进  那些  被  称为  “  #三级 跳#  坑  ”  （  院子  比  路  低  、  房间  比  院子  低  ）  的  破旧  危房  时  ，  我们  禁不住  掉  下  了  眼泪  。	三级跳
9	当  我们  走进  那些  被  称为  “  三级  跳  坑  ”  （  院子  比  路  低  、  房间  比  院子  低  ）  的  破旧  危房  时  ，  我们  禁不住  #掉 下#  了  眼泪  。	掉下
10	尤其是  王串场居民区  ，  是  解放  初  建造  的  工人  #新 村#  ，  近  ５０年  来  几乎  没有  大修  过  。	新村
11	这些  #年 来#  ，  我们  河北区委  、  区  政府  一班人  把  群众  生活  的  难点  和  关心  的  热点  作为  工作  的  切入点  ，  尽心竭力  履行  公仆  之  责  ，  博得  了  群众  的  好评  。	年来
12	１９９３年２月  任  区委  #副 书记#  、  区长  兼  政法委  书记  。	副书记
13	重组  企业  ，  新建  企业  全面  改革  劳动  用工  制度  ，  彻底  打破  干部  、  工人  界限  ，  #新 增#  人员  全部  使用  合同工  、  临时工  。	新增
14	#前 不久#  ，  成都五块石旧货市场  开张  时  ，  作为  西南  乃至  全国  最大  的  旧货  市场  ，  管委会  在  摊位  十分  紧俏  的  情况  下  ，  拿  出  了  ２００个  摊位  ，  面向  下岗  职工  招租  ，  每个  摊位  一年  仅  收  租金  ２０００元  ，  管委会  提供  货源  ，  负责  培训  营业员  ；  区  政府  也  表示  免税  一年  。	前不久
15	前  不久  ，  成都五块石旧货市场  开张  时  ，  作为  西南  乃至  全国  最大  的  旧货  市场  ，  管委会  在  摊位  十分  紧俏  的  情况  下  ，  #拿 出#  了  ２００个  摊位  ，  面向  下岗  职工  招租  ，  每个  摊位  一年  仅  收  租金  ２０００元  ，  管委会  提供  货源  ，  负责  培训  营业员  ；  区  政府  也  表示  免税  一年  。	拿出
16	楼下  ，  市劳务市场  内  热热闹闹  ，  巨大  的  用工  信息  显示屏  和  招工  单位  的  桌子  前  挤满  了  #求职 者#  ，  转岗培训报名处  前  也  不时  有人  填表  ，  登记  ；  楼上  ，  市就业局  办公  井然有序  。	求职者
17	如今  的  “  夜谈  ”  已  不再  是  组织部  一家  的  事  ，  特别是  以往  群众  反映  强烈  的  司法  、  人事  、  土地  等  部门  ，  把  “  夜谈  ”  #同 日#  谈  、  重点  谈  结合  ，  并  公开  各项  服务  承诺  ，  接受  群众  监督  。	同日
18	为了  节省  开销  ，  他们  还  特地  #带 上#  棉被  ，  准备  露宿  。	带上
19	听说  有  记者  采访  ，  来自  诏安  秀篆乡  的  几位  农民  告诉  记者  ：  去年  他们  乡  的  两位  代表  上访  ，  乡亲  们  你  ３元  、  他  ５元  #凑 齐#  了  路费  。	凑齐
20	张绳华  办公室  里  的  一  #本 本#  接待  记录  ，  挂  满  墙壁  的  一  面  面  锦旗  ，  那  背后  差不多  都  有  一  桩  动人  的  故事  。	本本
21	张绳华  办公室  里  的  一  本  本  接待  记录  ，  挂  满  墙壁  的  #一 面#  面  锦旗  ，  那  背后  差不多  都  有  一  桩  动人  的  故事  。	一面
22	#据 统计#  ，  截至  今年５月  ，  组织部  已  连续  １８次  “  夜谈  ”  ，  共  接待  来访  来电  １１３８人次  ，  结  办  率  达  ８３％  以上  。	据统计
23	事后  ，  张绳华  陷入  了  深思  ：  面对  着  如此  强烈  的  民  声  和  民  愿  ，  作为  一级  党  的  部门  却  #怎 能#  如此  麻木  ，  如此  被动  ？	怎能
24	半年  后  的  一天  ，  一  位  #名 叫#  邹木山  的  农民  为  他  ９２岁  高龄  的  父亲  历史  上  的  一段  不  公正  遭遇  三  访  组织部  未  果  ，  便  给  张绳华  留下  父亲  的  三封  信  。	名叫
25	半年  后  的  一天  ，  一  位  名  叫  邹木山  的  农民  为  他  ９２岁  高龄  的  父亲  #历史 上#  的  一段  不  公正  遭遇  三  访  组织部  未  果  ，  便  给  张绳华  留下  父亲  的  三封  信  。	历史上
26	半年  后  的  一天  ，  一  位  名  叫  邹木山  的  农民  为  他  ９２岁  高龄  的  父亲  历史  上  的  一段  不  公正  遭遇  三  访  组织部  #未 果#  ，  便  给  张绳华  留下  父亲  的  三封  信  。	未果
27	#那 是#  １９９６年初  ，  张绳华  初  到  漳州  任  组织部  长  。	那是
28	#说 起#  “  夜谈  ”  的  来由  ，  其中  有着  一段  广为  传诵  的  佳话  。	说起
29	或  侃侃  诉说  ，  或  填表  咨询  ，  一时  挤  不  进  办公室  的  ，  干脆  就  #自 带#  板凳  依次  等  在  走廊  外  。	自带
30	从  漳州  各地  #赶 来#  的  群众  ，  挤满  了  党政  各个  部门  的  办公室  。	赶来
31	往日  宁静  的  漳州市委大院  里  ，  此时  #却 是#  灯火  通明  ，  人声鼎沸  。	却是
32	据悉  ，  这  项  改造  工程  不久  将  在  北京  、  上海  等  ３９个  #大 城市#  普遍  展开  ，  老百姓  可以  放心  、  放开  用  电  的  日子  不会  太  远  了  。	大城市
33	据  分析  ，  这  项  工程  如  能  顺利  实施  ，  不仅  可以  改变  城  网  的  脆弱  现状  ，  而且  还  会  产生  巨大  的  附带  效益  ，  如  带来  ３０万个  就业  岗位  ，  刺激  国内  机电  产品  的  需求  ，  对  国民经济  #起 到#  一定  的  拉动  作用  等等  。	起到
34	城  网  改造  #所 需#  资金  巨大  ，  全国  ３９个  重点  城市  城  网  改造  今后  三年  预计  要  投入  ７００亿元  ，  若  再  考虑  一批  中等  城市  ，  投入  将  达到  １０００亿元  ，  平均  每年  将  投入  ３００亿元  。	所需
35	#据 统计#  ，  我国  发电  与  输  配电  投入  的  比例  是  １∶０．２７∶０．２  ，  也就是说  建  电厂  投  １元  ，  建  输电  、  配电  两项  加  起来  才  投  ０．４７元  ，  而  国外  超过  １∶１  ，  可见  投入  严重  不足  。	据统计
36	更深  #一 层#  看  ，  脆弱  的  电网  某  种  程度  上  还  影响  到  整个  消费  市场  的  启动  。	一层
37	更深  一  层  看  ，  脆弱  的  电网  #某 种#  程度  上  还  影响  到  整个  消费  市场  的  启动  。	某种
38	#据 统计#  ，  今年１月—６月  ，  国家电力公司  下属  电厂  发电量  增长  仅  为  ０．９７％  ，  一些  地区  甚至  出现  了  负增长  。	据统计
39	１９９７年  ，  北京市  人均  用  #电 量#  为  ２３００千瓦时  （  度  ）  ，  在  全国  是  高  的  。	电量
40	以  北京  #为 例#  ，  大多数  楼房  的  用  电  标准  每  平方米  建筑面积  只有  ８瓦  （  ２．５Ａ  电表  ）  。	为例
41	一些  城市  在  供  的  电  #用 不 了#  的  情况  下  ，  仍  不得不  拉闸  限电  。	用不了
