id	segmented_sentence	merged_word
1	该  #险 种#  区别  于  其他  传统  型  综合  养老  险  种  ，  更加  突出  养老  责任  保障  。	险种
2	该  险  种  区别  于  其他  传统  型  综合  养老  #险 种#  ，  更加  突出  养老  责任  保障  。	险种
3	“鑫诺１号”卫星  由  中国航天保险联合体  提供  保险  ，  中保财产保险有限公司  #为 主#  承  保  商  ，  总  保  额  为  ２．３５亿美元  ，  共  提供  了  火箭  发射  前  保险  、  三秒半  点火  起飞  保险  、  发射  保险  和  第三者  责任  保险  等  四个  不同  险  种  的  保险  。	为主
4	“鑫诺１号”卫星  由  中国航天保险联合体  提供  保险  ，  中保财产保险有限公司  为  主  承  保  商  ，  总  保  额  为  ２．３５亿美元  ，  共  提供  了  火箭  发射  前  保险  、  三秒半  点火  起飞  保险  、  发射  保险  和  第三者  责任  保险  等  四个  不同  #险 种#  的  保险  。	险种
5	货币  调  期  ：  #又 称#  “  货币  利率  互换  ”  ，  是  交易  双方  根据  预选  规定  的  汇率  和  利率  水平  ，  相互  交换  债务  本金  及  利息  的  一种  做法  。	又称
6	通过  这  一  手段  ，  客户  可  将  原有  债务  利率  转换  #成 对#  自己  有利  的  形式  ，  从而  达到  防范  利率  风险  ，  降低  债务  成本  的  目的  。	成对
7	利率  调  期  ：  #又 称#  “  利率  互换  ”  ，  是  指  两种  不同  利率  形式  之间  的  相互  交换  ，  如  固定  利率  调  成  浮动  利率  ，  浮动  利率  调  成  固定  利率  。	又称
8	但  投资者  #对 美#  日  的  联合  干预  心有余悸  ，  又  不  看好  日元  ，  美元  兑  日元  被  这种  心理  所  左右  ，  没有  太  大  表现  。	对美
9	作为  #避 险#  货币  的  瑞士法郎  也  大幅  上升  。	避险
10	繁荣  的  经济  同时  会  引起  美国  通货膨胀  ，  美国  基本  利率  在  ５．５％  的  高水平  上  ，  而  其  #升 息#  的  可能性  增加  ，  美元  因此  上升  。	升息
11	很多  人  认为  #到 时#  能否  偿  债  ，  代价  如何  ，  与  己  无关  。	到时
12	很多  人  认为  到  时  能否  #偿 债#  ，  代价  如何  ，  与  己  无关  。	偿债
13	很多  中长期  债务  的  期限  都  在  ５年  、  １０年  甚至  ２０年  以上  ，  企业  认为  现在  考虑  #偿 债#  问题  为时  尚  早  ，  等  问题  出现  时  ，  往往  为时已晚  。	偿债
14	去年底  ，  #韩 元#  大幅  贬值  ，  中行  抓住  市场  有利  时机  ，  在  １美元  兑  １７００韩元  的  汇率  水平  上  替  客户  做  了  美元  与  韩  元  货币  调  期  交易  。	韩元
15	去年底  ，  韩  元  大幅  贬值  ，  中行  抓住  市场  有利  时机  ，  在  １美元  兑  １７００韩元  的  汇率  水平  上  替  客户  做  了  美元  与  #韩 元#  货币  调  期  交易  。	韩元
16	１９９７年七八月  间  南方  一家  #钢 厂#  从  中国银行  借  入  约  ３亿马克  的  贷款  。	钢厂
17	１９９３年  北京  某  #大 饭店#  从  中国银行  借  入  １．２亿美元  ３年  期  浮动  利率  债务  。	大饭店
18	国际  上  的  经验  和  国内  的  一些  实践  表明  ，  寻求  银行  的  帮助  ，  进行  债务  风险  管理  ，  #定 能#  找到  躲避  风浪  的  安全  港湾  。	定能
19	湖北  有  家  #啤酒 厂#  产品  销路  很  好  ，  经济效益  不错  。	啤酒厂
20	从  他  五十年代初  创作  的  反映  抗美援朝  的  长篇小说  《  东  线  》  到  近  二十年  创作  的  长篇小说  《  上党  之  战  》  、  《  战将  陈赓  》  等  无  一  不是  以  敌我  双方  的  较量  为  重点  ，  高屋建瓴  地  表现  了  恢宏  的  战争  场面  ，  是  一  部  部  #史诗 般#  的  长卷  。	史诗般
21	由  华夏出版社  最近  出版  的  五卷  本  《  竹林  文集  》  ，  除  竹林  的  知青  文学  代表作  之外  ，  还  收入  了  她  的  《  女巫  》  、  《  #苦 楝#  树  》  等  作品  。	苦楝
22	这种  极  #不 正常#  的  状况  ，  直到  最近  十几年  ，  伴随  着  思想  解放  的  进程  才  逐渐  改变  。	不正常
23	书  中  还  论述  了  宋代  女性  作家  与  时代  的  关系  ，  战争  灾难  、  理学  盛行  、  贞节  观念  浓厚  、  刑法  #不 平等#  ，  加深  了  对  妇女  身心  的  迫害  与  摧残  ，  形成  了  她们  创作  上  悲壮  兼  哀婉  的  独特  风格  。	不平等
24	这是  一  部  严肃  的  学术  著作  ，  作者  取材  严  、  用  笔  慎  ，  不  收录  女  #仙 女#  鬼  及  小说  中  虚构  的  女性  人物  。	仙女
25	这  部  『  #前 传#  』  从  谭  先生  一九一一年  出生  写  到  『  文革  』  前夜  。	前传
26	畅销  全球  的  《  第十种  #洞察 力#  》  是  塞莱斯廷  预言  难得  的  续篇  。	洞察力
27	没  看  长篇小说  《  李白  》  之前  ，  我们  所  知道  的  李白  ，  至少  是  个  不  完整  或  缺少  历史  #真实 感#  的  李白  。	真实感
28	要  把  一个  真实  的  李白  ，  通过  小说  的  虚构  想象  和  对  历史  不可  杜撰  的  描写  ，  甚而  更  重要  的  是  对  史实  的  #研 判#  ，  给  读者  一个  入情入理  的  证实  ，  首先  少不了  的  是  要  走进  创作  者  自己  的  心中  。	研判
29	要  把  一个  真实  的  李白  ，  通过  小说  的  虚构  想象  和  对  历史  不可  杜撰  的  描写  ，  甚而  更  重要  的  是  对  史实  的  研  判  ，  给  读者  一个  入情入理  的  证实  ，  首先  少不了  的  是  要  走进  #创作 者#  自己  的  心中  。	创作者
30	从  写  得  #好 不好#  上  说  ，  是  个  大  的  考验  。	好不好
31	#论 及#  的  中外  作家  ，  或  为  幼儿  文学  的  先驱  、  拓荒者  ，  或  为  富有  鲜明  创作  个性  的  、  有  代表性  的  作家  。	论及
32	如  书  中  关于  幼儿  文学  是  “  成人  和  幼儿  共  读  的  文学  ”  的  论述  以及  关于  “  幼儿  文学  创作  应当  遵循  快乐  的  原则  ”  等  论点  ，  可  说  是  既  熔  众  #方 家#  学者  的  博  见  于  一  炉  ，  又  有  自己  独特  的  见解  ，  从而  较为  透彻  地  揭示  了  幼儿  文学  的  本质  、  特征  、  功能  和  接受  方式  。	方家
33	两位  作者  不是  孤立  地  考察  幼儿  文学  ，  而是  把  它  放  在  教育学  、  心理学  、  美学  等  #多 学科#  这样  一个  更  宏大  的  范畴  内  进行  多  角度  、  多方位  的  探讨  。	多学科
34	另  据  内行  人  说  ，  #出版 者#  并不  都是  蠢人  ，  他们  追  “  巨  ”  求  “  豪  ”  ，  实在  是  万不得已  。	出版者
35	春秋  时期  的  史伯  说  “  和  实  #生 物#  ”  ，  “  以  他  平  他  谓  之  和  ”  。	生物
36	有人  对  此  不  了解  ，  说  中国  自古  是  “  #他 律#  ”  ，  服从  于  外在  的  压力  、  管束  ，  说  西方  文化  是  “  自律  ”  。	他律
37	用  #老 庄#  思想  解  《  易  》  是  可以  的  ，  但  用  象  数  、  纳  甲  之类  说  《  易  》  ，  那  就  近于  迷信  了  。	老庄
38	我  认为  《  #易 传#  》  还是  儒家  思想  ，  这是  很  明显  的  。	易传
39	有  学者  认为  中国  哲学  的  核心  是  道家  思想  ，  因为  孔子  、  孟子  很少  讲  #本体 论#  ，  第一个  讲  本体  论  的  是  老子  。	本体论
40	有  学者  认为  中国  哲学  的  核心  是  道家  思想  ，  因为  孔子  、  孟子  很少  讲  本体  论  ，  第一个  讲  #本体 论#  的  是  老子  。	本体论
41	在  文化  问题  上  ，  要  避免  两种  #不 正确#  的  倾向  ，  即  既要  反对  全盘  西化  论  ，  也  要  反对  中国  文化  优越  论  。	不正确
42	这  两个  政策  目标  ，  到底  选择  #哪 一个#  ，  取决于  当时  所  要  解决  的  最  紧迫  问题  是  效率  还是  公平  。	哪一个
43	在  社会主义  市场经济  条件  下  ，  效率  和  公平  这  两  大  目标  必须  兼顾  ，  忽视  #哪 一个#  ，  都  不  符合  社会主义  精神  。	哪一个
44	这些  理论  中  蕴涵  着  一些  收入  分配  的  #新 思想#  ，  诸如  扩大  企业  收入  分配  自主权  ，  在  收入  分配  中  引入  市场  机制  ，  等等  。	新思想
45	在  根治  地区  产业  结构  趋同  和  重复  建设  的  问题  上  ，  政府  的  作用  主要  是  ：  第一  ，  按照  市场经济  规律  的  要求  ，  科学  严谨  地  制定  产业  政策  ，  并  保证  其  贯彻执行  ，  有  #目的 地#  引导  企业  的  微观  经济  活动  。	目的地
46	打破  地区  封锁  和  条块  分割  ，  以  资本  为  纽带  ，  以  盘活  存量  资产  和  优化  资源  配置  为  目的  ，  支持  和  鼓励  企业  #跨 地区#  、  跨行业  、  跨  所有制  的  兼并  、  联合  和  资产  重组  。	跨地区
47	同时  ，  应  尽快  制定  一  部  规范  投资  行为  的  法律  ，  #用 法#  来  规范  投资  行为  ，  用  法  来  制裁  不  负责任  的  投资  行为  ，  使  项目  投资  之前  做到  决策  程序化  和  科学化  ，  杜绝  重复  建设  的  根源  。	用法
48	同时  ，  应  尽快  制定  一  部  规范  投资  行为  的  法律  ，  用  法  来  规范  投资  行为  ，  #用 法#  来  制裁  不  负责任  的  投资  行为  ，  使  项目  投资  之前  做到  决策  程序化  和  科学化  ，  杜绝  重复  建设  的  根源  。	用法
49	尤其是  下岗  女  职工  ，  由于  #其 自身#  的  因素  和  历史  的  、  社会  的  原因  ，  使  她们  面临  的  生活  困难  、  心理  压力  和  再就业  的  难度  更  大  。	其自身
50	可以  相信  ，  只要  广大  领导干部  真心诚意  地  按照  这  一  要求  去  做  ，  就  一定  能够  端正  学风  ，  从  根本上  #刹 住#  “  包装  ”  之类  形式主义  的  问题  。	刹住
