id	segmented_sentence	merged_word
1	还  规定  ：  “  在  缝合  胸  腹腔  或  深  部  创口  前  ，  巡回  护士  和  器械  护士  应  清点  纱布  、  纱  垫  、  器械  、  #缝 针#  、  线  卷  等  数量  ，  并  与  手术  前  所  登记  的  数字  核对  ，  完全  相符  或  确保  胸  、  腹腔  内  无  纱布  等  存留  时  ，  方  准  缝合  。	缝针
2	我  谨  #以 此#  系列  献给  沉稳  、  聪慧  、  高贵  、  典雅  的  女士  们  。  ”	以此
3	再  加之  考虑  到  费用  、  奖金  等  方面  的  问题  ，  这次  比赛  有  好些  队  没  来  参加  ，  #随 之#  也  就  影响  了  比赛  的  层次  和  水平  。  ”	随之
4	国宴  正在  进行  中  ，  总理  看到  一些  #记者 站#  在  宴会  大厅  一  角  ，  便  把  礼宾司  同志  叫  到  自己  身边  ，  对  他  说  ：  “  有的  记者  没有  吃饭  ，  要  通知  大会堂  给  他们  准备  饭  。	记者站
5	我  希望  在  这次  比赛  中  能  有  #上 佳#  的  表现  。  ”	上佳
6	#这 就#  是  我  说  过  的  ‘  细微  末节  ’  的  含义  。  ”	这就
7	我们  #一定 要#  经常  教育  我们  的  人民  ，  尤其是  我们  的  青年  ，  要  有  理想  。  ”	一定要
8	我们  一定  要  经常  教育  我们  的  人民  ，  尤其是  我们  的  青年  ，  #要 有#  理想  。  ”	要有
9	#有 了#  人才  优势  ，  再  加上  先进  的  社会主义制度  ，  我们  的  目标  就  有  把握  达到  。  ”	有了
10	所以  就  它  的  内容  来讲  ，  它  像  一切  权利  一样  是  一种  #不 平等#  的  权利  。  ”	不平等
11	许多  人  失败  了  ，  就是  因为  熬  #不 到#  这个  时候  就  打退堂鼓  了  。  ”	不到
12	但  #输 球#  并不是  什么  特别  糟糕  的  事情  。  ”	输球
13	每天  飞机  不  安全  落地  ，  我们  就  睡  #不 着#  觉  。  ”	不着
14	汽车  #绕 过#  一  条  幽深  的  峡谷  ，  坐  在  车前  的  一  位  小姐  突然  兴奋  地  惊叫  起来  ：  “  啊  ！	绕过
