id	segmented_sentence	merged_word
1	不久前  的  一天  上午  ，  刚  毕业  于  曼谷万颂绿叻差博学院企业管理系  的  少女  玛裕勒  和  诗丽婉  到  吞武里  一带  求职  #未 果#  。	未果
2	车  上  坐  着  的  祖孙  三代  五个  人  在  了解  情况  后  ，  二话不说  就  跳  #下 车#  …  …  在  他们  的  帮助  下  ，  我  的  车  终于  被  拉  了  出来  。	下车
3	可是  ，  她  的  “  菲亚特  ”  无论如何  拖  #不 动#  我  的  车  。	不动
4	我  照  完  相  坐  #上 车#  准备  返回  时  ，  麻烦  来  了  ：  我  的  车  陷  进  积雪  中  ，  车轮  在  雪地  上  打滑  ，  越  使劲  发动  ，  车轮  越  往下  陷  。	上车
5	雪  后  的  美景  吸引  我  驱车  去  “  #抢 镜头#  ”  。	抢镜头
6	我  立即  驱车  到  维修  站  ，  检查  后  发现  我  的  车  右  #后 轮#  的  缓冲器  果然  出  了  毛病  。	后轮
7	我  赶忙  停车  ，  后面  的  “  #波 罗#  乃  兹  ”  也  停  了  下来  ，  车  上  下来  的  一  位  中年人  告诉  我  ，  车  的  右  后  轮  好像  有  问题  ，  最好  去  检查  一下  。	波罗
8	我  赶忙  停车  ，  后面  的  “  波  罗  乃  兹  ”  也  停  了  下来  ，  车  上  下来  的  一  位  中年人  告诉  我  ，  车  的  右  #后 轮#  好像  有  问题  ，  最好  去  检查  一下  。	后轮
9	本报  新德里  ５月２５日  电  记者  李文云  报道  ：  #几天 来#  ，  连续  的  高温  酷热  袭击  了  印度  全境  ，  到  ２５日  止  ，  印  全国各地  死  于  热浪  的  人数  已  达  １１１  人  。	几天来
10	他  说  ，  美  #方 正#  加紧  与  中方  磋商  ，  试图  在  一些  问题  上  找出  灵活  的  解决  办法  。	方正
11	同时  ，  #中国 海#  还  拥有  红树  林  、  珊瑚礁  、  上升  流  、  河口  海湾  等  各种  高  生产力  的  生态  系统  。	中国海
12	同时  ，  中国  海  还  拥有  #红树 林#  、  珊瑚礁  、  上升  流  、  河口  海湾  等  各种  高  生产力  的  生态  系统  。	红树林
13	人们  #大都 会#  脱口而出  ：  九百六十万平方公里  。	大都会
14	这里  ，  关于  两个  资产  主体  、  关于  相互  补充  与  相互  博弈  、  关于  国家  主体  的  #主导 性#  作用  、  关于  多种  杠杆  进行  调控  等等  观点  ，  都  有着  强烈  的  针对性  与  可  操作  性  。	主导性
15	西方  国家  在  １５０年  间  经历  六次  革命  形成  的  二十几种  #业 态#  ，  三五年  间  在  我国  就  都  同时  综合  地  呈现  出来  了  。	业态
16	我们  对于  农产品  和  工业品  等  各类  商品  #分 销#  形态  演进  的  过程  并不是  十分  清楚  ，  对  西方  发展  历程  的  规律  研究  得  也  不够  充分  。	分销
17	关于  要素  市场  的  意见  分歧  ，  除了  因  对  资料  掌握  的  差异  外  ，  很  大  程度  上  是  由于  对  “  市场  ”  的  不同  理解  #所 致#  。	所致
18	如  有  学者  在  多种  场合  强调  中国  传统  农业  和  手工业  内部  的  积极因素  ，  不  同意  流行  甚  广  的  #一 元#  经济  理论  模式  ，  即  把  传统  农业  看成  完全  消极  的  模式  。	一元
19	有的  学者  还  提出  ，  从  中国  历史  特点  考虑  ，  广泛  意义  的  社会学  ，  而  不是  #新 古典#  或  新  制度  经济学  ，  是  我们  今后  应  更加  注意  的  理论  和  方法  。	新古典
20	面对  这种  困难  ，  在  经济  史  计量  方法  的  具体  运用  上  ，  出现  了  两种  意见  ：  一种  意见  侧重  于  “  大胆  创新  ”  ，  提出  必须  改变  “  那种  面对  数据  不足  ，  在  一些  重大  课题  面前  望而却步  的  状况  ”  ，  认为  “  在  我们  惯用  #和 尚#  不  熟悉  的  理论  和  方法  之间  ，  应  侧重  于  提倡  、  引进  和  运用  后者  ”  。	和尚
21	把  过去  所  制订  的  国际  规则  ，  看成  是  规则  面前  人人  平等  的  观点  是  #不 准确#  的  。	不准确
22	所以  只  承认  规则  的  平等  而  否认  由  上述  原因  所  造成  的  事实上  的  #不 平等#  ，  是  当今  一切  国际  规则  中  带  根本性  的  原则  问题  。	不平等
23	因为  竞争  过程  中  努力  程度  的  不同  ，  或  竞争  起点  不同  ，  或  资源  禀赋  不同  ，  都  可能  导致  结果  的  #不 平等#  。	不平等
24	然而  ，  规则  的  平等  必定  引起  事实上  的  #不 平等#  。	不平等
25	主要  有  如下  观点  ：  （  １  ）  认为  #李 氏#  比较  利益  论  的  科学  内核  是  劳动  价值  论  ，  它  是  建立  在  劳动  价值  论  基础  上  的  。	李氏
26	大学  的  新  使命  已  不再  是  适应  社会  ，  而是  以  #其 所#  创造  的  高  新  知识  与  所  培养  的  高  智能  人才  ，  引导  社会  ，  促进  社会  的  发展  。	其所
27	我们  搞  高等教育  的  人  就要  认识  这种  规律  、  驾驭  这种  规律  ，  但  这  并不是  说  高等教育  要  #市场 化#  ，  政府  必须  通过  宏观  政策  调节  ，  而  不是  通过  计划  调节  或  行政  手段  干预  。	市场化
28	我  认为  ，  “  智力  资本  ”  这个  概念  包括  这样  几层  意思  ：  其一  ，  是  指  一定  数量  或  比例  的  社会  成员  其  智力  的  规模  性  运用  及  人  的  内在  的  创造性  智慧  资源  ；  其二  ，  是  指  可靠  的  、  有  效用  的  观念形态  的  知识  信息  本身  ；  #其 三#  ，  是  指  以  技术  研制  、  知识  物化  、  科技  开发  为  方式  ，  能够  取得  技术  和  物质  性  结果  及  价值  的  多种  智力  手段  。	其三
