id	segmented_sentence	merged_word
1	尽管  各  家  都  有  电视机  ，  但  许多  #法国 人#  特别是  青年人  更  喜欢  聚  在  一起  收看  世界杯  决赛  。	法国人
2	本报  巴黎  ７月１２日  电  记者  曹焕荣  报道  ：  在  国际足联执委会  刚刚  结束  后  ，  新任  主席  布拉特  向  记者  谈  今后  的  主要  工作  时  指出  ：  从  ７月１３日  起  ，  就要  全力  筹备  #下 届#  世界杯  赛  。	下届
3	如  事实  被  他  #言 中#  的话  ，  对  足球  未必  是  件  好事  。	言中
4	本届  杯赛  的  ３２支  队伍  ，  都  可  领到  ３笔  钱  ：  一  笔  是  #出场 费#  ，  不管  胜负  ，  每  队  每  场  １００万瑞士法郎  （  约  合  ６００万元人民币  ）  ；  一  笔  是  赛  前  的  准备  经费  ，  每  队  ７５万瑞士法郎  ；  一  笔  是  全队  ４５  人  每人  每天  ３７５瑞士法郎  的  旅差费  。	出场费
5	本届  杯赛  的  ３２支  队伍  ，  都  可  领到  ３笔  钱  ：  一  笔  是  出场  费  ，  不管  胜负  ，  每  队  每  场  １００万瑞士法郎  （  #约 合#  ６００万元人民币  ）  ；  一  笔  是  赛  前  的  准备  经费  ，  每  队  ７５万瑞士法郎  ；  一  笔  是  全队  ４５  人  每人  每天  ３７５瑞士法郎  的  旅差费  。	约合
6	阿维兰热  在  即将  退休  时  不无  得意  地  说  ：  “  以前  ，  参赛  球队  要  #交 钱#  ，  现在  是  国际足联  出钱  。  ”	交钱
7	法国组委会  也  喜滋滋  地  称  ，  他们  挣  的  钱  已经  超过  了  #美国 人#  承办  的  上  一  届  。	美国人
8	在  世界杯  赛  结束  时  ，  国际足联  发言人  提到  ，  他们  的  收益  约  为  ４．６５亿瑞士法郎  （  #约 合#  ２７．９亿元人民币  ）  ，  比  １９９４年  世界杯  赛  多  出  １．７３亿瑞士法郎  。	约合
9	组委会  专管  经济  事务  的  一  位  负责人  介绍  ，  世界杯  期间  ，  应邀  来  法  的  国际  #大 公司#  的  代表  有  ２００多名  ，  他们  “  都  有  投资  意向  ，  只是  没有  拿  定  主意  选择  法国  还是  别的  欧洲  国家  ”  。	大公司
10	#法国 人#  为  本届  杯赛  开发  的  纪念品  ，  从  吃穿  用  无所不包  ，  光  葡萄酒  就  不止  一个  品种  。	法国人
11	这次  ，  不少  #赞助 商#  、  代理  商  全面  学  会  了  “  以  票  生财  ”  ：  有的  将  球  票  作为  促销  产品  的  奖品  ；  有的  用  抽签  的  方式  ，  用  球  票  来  推销  彩票  ；  １７家  旅行社  通过  球  票  ，  组织  了  大批  客源  。	赞助商
12	这次  ，  不少  赞助  商  、  #代理 商#  全面  学  会  了  “  以  票  生财  ”  ：  有的  将  球  票  作为  促销  产品  的  奖品  ；  有的  用  抽签  的  方式  ，  用  球  票  来  推销  彩票  ；  １７家  旅行社  通过  球  票  ，  组织  了  大批  客源  。	代理商
13	这次  ，  不少  赞助  商  、  代理  商  全面  #学 会#  了  “  以  票  生财  ”  ：  有的  将  球  票  作为  促销  产品  的  奖品  ；  有的  用  抽签  的  方式  ，  用  球  票  来  推销  彩票  ；  １７家  旅行社  通过  球  票  ，  组织  了  大批  客源  。	学会
14	法  方  在  国际足联  直接  控制  的  １２家  公司  以外  ，  经  争取  ，  另  搞  了  ８家  公司  为  “  第二类  #赞助 商#  ”  。	赞助商
15	#法国 人#  也  借  这个  良机  ，  充分  开展  “  足球  经济  ”  。	法国人
16	有的  企业  说  ，  “  这是  让  世界  认识  我们  的  #极 好#  机会  ”  ；  有的  认为  足球  的  影响  主要  在  青年  中  ，  故  对  世界杯  赛  的  投资  热情  超过  了  奥运会  。	极好
17	如今  ，  世界杯  #足球 赛#  不仅  是  一  项  体育  盛事  ，  也是  一次  颇  具  规模  的  商业  活动  。	足球赛
18	如今  ，  世界杯  足球  赛  不仅  是  一  项  体育  盛事  ，  也是  一次  #颇 具#  规模  的  商业  活动  。	颇具
