id	segmented_sentence	merged_word
1	特区  政府  正在  利用  自己  的  优势  ，  针对  经济  调整  期间  出现  的  难题  ，  提出  中期  、  短期  政策  措施  ，  以  #纾 解#  民  困  ；  同时  动员  社会  各界人士  ，  包括  最近  选出  的  第一届立法会  的  候  任  议员  ，  共商  经济  、  民生  大计  ，  同舟共济  ，  迎  难  而  上  。	纾解
2	特区  政府  正在  利用  自己  的  优势  ，  针对  经济  调整  期间  出现  的  难题  ，  提出  中期  、  短期  政策  措施  ，  以  纾  解  民  困  ；  同时  动员  社会  各界人士  ，  包括  最近  选出  的  第一届立法会  的  #候 任#  议员  ，  共商  经济  、  民生  大计  ，  同舟共济  ，  迎  难  而  上  。	候任
3	但是  ，  为了  捍卫  联系  汇率  而  扯  高  了  利率  后  ，  影响  到  股市  #大 跌#  ，  楼  价  下滑  ，  一些  市民  受  损  ；  有些  行业  （  如  旅游  、  地产  、  零售  等  ）  不景气  ；  银行  收紧  信贷  ，  工商业  户  经营  困难  ，  已  有一些  商号  清盘  、  裁员  ，  失业  增加  ；  第一季度  经济  出现  了  ２％  的  负增长  。	大跌
4	但是  ，  为了  捍卫  联系  汇率  而  扯  高  了  利率  后  ，  影响  到  股市  大  跌  ，  楼  价  下滑  ，  一些  市民  #受 损#  ；  有些  行业  （  如  旅游  、  地产  、  零售  等  ）  不景气  ；  银行  收紧  信贷  ，  工商业  户  经营  困难  ，  已  有一些  商号  清盘  、  裁员  ，  失业  增加  ；  第一季度  经济  出现  了  ２％  的  负增长  。	受损
5	金融  当局  按  金融市场  的  规则  采取  断然  措施  ，  包括  抛售  美元  、  吸纳  港元  ，  收紧  银根  ，  禁止  和  惩罚  大量  超额  贷  出  港元  供  炒家  #抛 空#  的  银行  ，  使  银行  同业  拆息  急升  ，  炒家  炒作  困难  ，  成本  提高  ，  难  获利  或  少  获利  ，  知难而退  。	抛空
6	依法  判决  了  临立会  法律  地位  问题  、  无  证  儿童  居留权  问题  等  ，  #彰 显#  了  法治  精神  ，  维护  了  政局  和  社会  的  安定  。	彰显
7	有人  要  在  “  鸡蛋  里  找  骨头  ”  ，  准备  做  #反 华#  文章  。	反华
8	在  我国  主体  实行  社会主义  的  前提  下  ，  在  #小 范围#  内  容许  资本主义  存在  ，  二者  长期  并存  、  共同  发展  。	小范围
9	昔日  老  殖民主义  者  用  “  武力  毒品  ”  （  炮舰  和  鸦片  ）  侵占  香港  ，  掠夺  中国  ，  在  世界  的  东方  制造  了  一次  “  历史  的  错误  ”  ；  今天  ，  社会主义  中国  用  “  和平  智慧  ”  （  和平谈判  和  极  具  创意  的  “  一国两制  ”  ）  收回  香港  ，  从而  纠正  了  这  一  “  历史  的  错误  ”  ，  解决  了  #中 英#  一百多年  的  历史  悬案  ，  改善  中  英  关系  ，  并  为  解决  历史  遗留  的  一些  国际  争端  提供  了  新  思路  。	中英
10	昔日  老  殖民主义  者  用  “  武力  毒品  ”  （  炮舰  和  鸦片  ）  侵占  香港  ，  掠夺  中国  ，  在  世界  的  东方  制造  了  一次  “  历史  的  错误  ”  ；  今天  ，  社会主义  中国  用  “  和平  智慧  ”  （  和平谈判  和  极  具  创意  的  “  一国两制  ”  ）  收回  香港  ，  从而  纠正  了  这  一  “  历史  的  错误  ”  ，  解决  了  中  英  一百多年  的  历史  悬案  ，  改善  #中 英#  关系  ，  并  为  解决  历史  遗留  的  一些  国际  争端  提供  了  新  思路  。	中英
11	经过  十多年  努力  ，  香港  、  祖国  内地  和  海外  的  爱国  、  #爱 港#  人士  倾注  了  大量  的  心血  ，  终于  汇集  成为  一个  彪炳史册  的  巨大  成果  —  —  —  以  “  一国两制  ”  方式  和平  收回  香港  ，  顺利  恢复  行使  主权  ，  建立  香港特别行政区  ，  把  香港  带  进  了  港人  治  港  的  新纪元  。	爱港
12	然而  ，  这个  伟大  构想  #见 诸#  实践  的  过程  实际上  早就  开始  了  。	见诸
13	越来越  多  的  台湾  同胞  #知道 了#  ，  看见  了  。	知道了
14	马克思主义  认为  ，  实践  ，  #唯 有#  实践  才是  检验  思想  认识  之  真理  性  的  标准  。	唯有
15	它  需要  从  #直 感#  上升  到  理智  ，  感情  的  烧灼  要  靠  理性  的  认识  去  提供  源源  不  竭  的  薪  火  。	直感
16	即使  是  那些  出于  生计  ，  #飘 泊#  海外  ，  寄居  异国  的  侨胞  ，  故乡  的  一  山  一  水  ，  祖国  的  一举一动  ，  也  总是  在  他们  心头  激起  阵  阵  涟漪  ，  并  为  之  魂  牵  梦  绕  。	飘泊
17	一年  前  赢得  “  九七  迎  回归  #全 港#  中小学  文学  美术  创作  比赛  ”  初中  组  新诗  冠军  的  张晓宇  同学  ，  在  诗  中  写  道  ：  “  在  蔚蓝  的  天上  ，  有  一  朵  飘逸  的  白云  ，  云  儿  飘  呀  飘  ，  飘  不  出  蓝天  的  怀抱  。	全港
18	一年  前  赢得  “  九七  迎  回归  全  港  中小学  文学  美术  创作  比赛  ”  初中  组  新诗  冠军  的  张晓宇  同学  ，  在  诗  中  #写 道#  ：  “  在  蔚蓝  的  天上  ，  有  一  朵  飘逸  的  白云  ，  云  儿  飘  呀  飘  ，  飘  不  出  蓝天  的  怀抱  。	写道
19	他  蜷伏  在  #舱 房#  角落  里  ，  在  似  睡  非  睡  中  ，  猛然  听见  两个  外国人  正在  用  脏  言  秽语  谈论  他  的  祖国  ，  顿时  热血沸腾  ，  抄  起  身边  的  罐头  盒子  就  朝  他们  掷  去  。	舱房
20	热爱  祖国  的  圣洁  感情  使  他  愧悔  #无 已#  。	无已
21	终日  贪玩  、  #不 好#  学习  的  法国  小孩  在  课堂  上  ，  突然  听到  老师  沉重  宣布  ：  明天  德国  占领军  就要  改  授  德语  ，  今天  我们  学  的  法语  是  最后  一  课  。	不好
22	俄罗斯联合进出口银行  #在 华#  开展  业务	在华
23	目前  ，  房利美  已  #买 下#  了  全  美  １／５  的  住房  抵押  贷款  。	买下
24	目前  ，  房利美  已  买  下  了  #全 美#  １／５  的  住房  抵押  贷款  。	全美
25	法律  规定  ，  房利美  只  可  经营  房屋  抵押  贷款  （  主要  是  向  低收入  和  #偏 低#  收入  家庭  提供  的  抵押  贷款  ）  。	偏低
26	这  项  房屋  融资  计划  的  对象  包括  ：  收入  低于  当地  收入  中点  值  的  家庭  ；  少数  族  裔  和  新  移民  ；  居住  在  城市  #中心 区#  和  穷困  社区  的  家庭  ；  有  特殊  房屋  需求  的  人士  。	中心区
27	这些  方法  都  为  我国  住房  金融  的  #商业 化#  运营  提供  了  借鉴  ，  说明  住房  资金  的  融通  完全  可以  在  政府  的  规范  和  协调  下  采用  市场  化  的  方式  进行  以  营利  为  目的  的  运作  ，  这  也是  保证  住房  金融  健康  发展  的  必要条件  。	商业化
28	这些  方法  都  为  我国  住房  金融  的  商业  化  运营  提供  了  借鉴  ，  说明  住房  资金  的  融通  完全  可以  在  政府  的  规范  和  协调  下  采用  #市场 化#  的  方式  进行  以  营利  为  目的  的  运作  ，  这  也是  保证  住房  金融  健康  发展  的  必要条件  。	市场化
29	目前  金融  改革  的  重点  之一  是  减  人  增  效  ，  目的  在于  解决  传统  体制  形成  的  机构  臃肿  和  效率  低下  等  长期  积累  的  问题  ，  使  国有  银行  真正  实现  #商业 化#  。	商业化
30	组合  贷款  中  ，  公积金  部分  和  商业性  部分  各  按  各  的  利率  算  ，  #还 款#  期限  不  超过  ２０年  。	还款
31	房贷部  高级  #副 经理#  陈秋泉  汗津津  一  脸  ，  向  记者  “  诉苦  ”  ：  “  中心  今年４月２０日  成立  ，  市民  听说  建行  手续  方便  ，  闻风  而  来  ，  如今  ，  每天  贷  出  ２００多笔  款子  ，  手腕  因为  抄  贷款  合同  一直  酸  沉  酸  沉  的  ！  ”	副经理
32	购  房  者  只  须  #踏 进#  中心  一个  门  ，  跑  两次  ，  便  可  大功告成  。	踏进
33	上海建筑装饰集团总公司  的  周  先生  是  个  大  忙人  ，  琢磨  着  贷  １０万元  住房  贷款  ，  面对  十几份  严谨  的  表格  直  #犯 怵#  ，  最后  掏  出  ４００元  ，  委托  千家置业服务有限公司  代办  ，  一个月  后  ，  轻轻松松  搬  入  新居  。	犯怵
34	上海建筑装饰集团总公司  的  周  先生  是  个  大  忙人  ，  琢磨  着  贷  １０万元  住房  贷款  ，  面对  十几份  严谨  的  表格  直  犯  怵  ，  最后  #掏 出#  ４００元  ，  委托  千家置业服务有限公司  代办  ，  一个月  后  ，  轻轻松松  搬  入  新居  。	掏出
35	除了  王  女士  这种  贷款  形式  外  ，  “  置换  房  个人  贷款  ”  还  包括  为  产权  房  以  小  换  大  、  以  旧  #换 新#  、  以  差  换  好  、  以  远  换  近  提供  贷款  支持  。	换新
36	天山西路  的  使用权  房  没有  产权  ，  无法  抵押  ，  遂  由  专门  从事  公房  售  后  再  上市  、  #空 置#  房  交换  等  业务  的  新长宁置业服务公司  提供  担保  。	空置
37	他  扳  着  指头  给  记者  #算 了#  一  笔  账  ：  上海  有  ４７０万  职工  公积金  存款  在  建行  ，  若  一  人  发  一  张  龙  卡  ，  既  可  查  公积金  余额  ，  又  可  还  公积金  贷款  ，  还  可  储蓄  、  结算  ，  那么  这  将  是  多  庞大  的  一  支  客户  群  啊  ，  将来  推销  银行  的  零售  业务  又是  多么  得天独厚  啊  。	算了
38	中共中央农村工作部  部长  、  国务院  副总理  邓子恢  率先  提出  包工  包产  责任制  ，  并  肯定  包产到户  ，  因此  #屡 遭#  批判  ，  不仅  免去  部长  一  职  ，  且  连  中央农村工作部  也  被  撤消  。	屡遭
39	１９５８年  后  ，  包产到户  更  被  视为  “  一  #小 二#  私  ”  ，  是  与  “  一  大  二  公  ”  人民公社  体制  格格不入  的  “  资本主义  道路  ”  。	小二
40	１９５８年  后  ，  包产到户  更  被  视为  “  一  小  二  私  ”  ，  是  与  “  一  #大 二#  公  ”  人民公社  体制  格格不入  的  “  资本主义  道路  ”  。	大二
41	包产到户  尽管  #屡 遭#  挫折  ，  为什么  会  在  中国  数度  崛起  ？	屡遭
42	收入  近年来  发表  过  的  多少  与  建筑  、  环境  与  人类  生存  状态  #有 关联#  的  散文  、  随笔  、  游记  。	有关联
43	读  之  使  人  有  诗情画意  美不胜收  、  余味  无穷  的  感受  ，  #感觉 到#  这是  理性  与  直觉  交织  而  成  的  建筑  、  城市  美学  的  学术  评论  ，  决非  信  之  所至  的  妄言  。	感觉到
44	最近  读  了  刘  先生  《  我  #眼 中#  的  建筑  与  环境  》  这  本  大作  之后  才  长  了  点  见识  。	眼中
45	读  罢  #掩 卷#  长叹  ，  仿佛  在  硝烟弥漫  的  历史  隧道  里  ，  又  发现  了  另  一种  不见  火光  的  “  焚  书  ”  ，  不禁  为  书  的  命运  捏一把汗  。	掩卷
46	百  事  皆  可乐  ，  #唯 有#  读书  苦  ，  所以  人们  宁愿  花  数千元  买  一件  服装  ，  也  不愿  花  十块钱  买  一  册  书刊  ；  宁愿  夜以继日  耗神  劳  形  地  喝酒  打牌  搓  麻将  ，  也  不愿  平心静气  地  读  一  页  书  。	唯有
47	百  事  皆  可乐  ，  唯  有  读书  苦  ，  所以  人们  宁愿  花  数千元  买  一件  服装  ，  也  不愿  花  十块钱  买  一  册  书刊  ；  宁愿  夜以继日  耗神  劳  形  地  喝酒  打牌  #搓 麻将#  ，  也  不愿  平心静气  地  读  一  页  书  。	搓麻将
48	文物  经典  一律  被  视为  “  #四 旧#  ”  ，  大破  特  破  而  后  快  ；  学者  文人  统统  被  打  成  “  异端  ”  ，  深  批  猛  斗  而  后  可  。	四旧
49	文物  经典  一律  被  视为  “  四  旧  ”  ，  大破  特  破  #而 后#  快  ；  学者  文人  统统  被  打  成  “  异端  ”  ，  深  批  猛  斗  而  后  可  。	而后
50	文物  经典  一律  被  视为  “  四  旧  ”  ，  大破  特  破  而  后  快  ；  学者  文人  统统  被  #打 成#  “  异端  ”  ，  深  批  猛  斗  而  后  可  。	打成
