id	segmented_sentence	merged_word
1	听  上田  说  ，  瓦伦  祖母  病重  住院  ，  需  人  照顾  ，  加之  #印尼 盾#  急剧  下跌  ，  医疗费  与  学费  难以  得  兼  ，  瓦伦  父亲  放弃  了  学费  。	印尼盾
2	课余  ，  常见  瓦伦  捧  着  英文  版  的  医书  #翻 看#  。	翻看
3	他  踮脚  观察  #一 周#  ，  问  上田  ：  “  怎么  不见  瓦伦  ？  ”	一周
4	他  ３个月  #前 因#  无  钱  交  学费  而  退学  ，  现  就职  于  一家  食品  公司  ，  业余  教授  英语  。	前因
5	泰国  人  乔旺  #身 穿#  浅蓝  工作服  冲  大家  挥手  。	身穿
6	第一次  作文  #发表 会#  ，  她  的  讲演  令  全班  动容  。	发表会
7	日语  教师  偏爱  她  ，  当  大家  困惑  时  ，  教师  常常  #把 头#  一  偏  ：  “  金桑  ，  你  来  回答  。  ”	把头
8	印度  #纱 丽#  、  朝鲜  长  裙  、  中国  旗袍  等  婆娑  上台  。	纱丽
9	印度  纱  丽  、  朝鲜  #长 裙#  、  中国  旗袍  等  婆娑  上台  。	长裙
10	校长  上田美保  #一 袭#  藏青  套裙  ，  微笑  着  颁发  毕业证书  。	一袭
11	最  引人注目  的  是  #制 陶#  车间  ，  有的  学生  在  伏案  作画  ，  有的  在  捏  泥巴  ，  有的  在  焙烧  炉  前  烧制  。	制陶
12	走进  一  看  ，  原来  是  个  巨大  的  厨房  ，  数十个  电灶  ，  十几个  学生  正在  #煎 炒#  烹  炸  ，  跟着  教师  上  烹调  课  。	煎炒
13	讲述  时  要求  配  上  有关  的  图表  幻灯片  等  ，  俨然  是  一  场  #专业 性#  的  学术  报告  。	专业性
14	不久前  ，  笔者  与  一  位  从  国内  来  堪培拉高中  就读  的  学生  华华  #谈 及#  两种  教学  体系  的  区别  ，  她  不假思索  地  说  ：  这里  的  高中  既  没有  固定  的  班级  和  教室  ，  也  没有  必修课  ，  全  根据  自己  对  未来  的  打算  选  学  ，  而  大多数  课  还  没有  课本  ，  学生  学习  主要  是  靠  自己  ，  靠  图书馆  。	谈及
15	事实上  ，  即使  像  毕加索  那样  的  名画  ，  虽然  在  艺术  上  产生  过  世界性  的  影响  ，  但  后世  的  人们  还是  将  它们  作为  珍品  加以  收藏  和  欣赏  的  居多  ，  刻意  #摹 仿#  和  实行  的  毕竟  是  少  。	摹仿
16	据说  ，  高迪  １９２６年  去世  时  ，  几乎  有  一半  巴塞罗那  #人 为#  他  送葬  。	人为
17	达利  则  更  甚  之  ，  #他 用#  一种  自称为  “  偏执  狂  临界状态  ”  的  方法  ，  在  自身  诱发  幻觉  境界  后  作画  ，  以  努力  证明  “  人  的  潜在  意识  超乎  理智  之上  ”  。	他用
18	达利  则  更  甚  之  ，  他  用  一种  自称为  “  #偏执 狂#  临界状态  ”  的  方法  ，  在  自身  诱发  幻觉  境界  后  作画  ，  以  努力  证明  “  人  的  潜在  意识  超乎  理智  之上  ”  。	偏执狂
19	在  他  之后  ，  高迪  、  米罗  和  达利  这些  掷地有声  的  加泰罗尼亚  人  的  名字  相继  出现  在  近  现代  世界  #艺术 史#  上  。	艺术史
20	#没 多久#  ，  要求  打破  几个世纪  来  封建  王朝  对  文化  艺术  的  封锁  和  禁锢  的  呼声  日  高  ，  一批  现代派  的  画家  和  建筑  家  应运而生  。	没多久
21	所有  这些  建筑  和  艺术  ，  它们  或  由于  过度  夸张  而  显得  荒诞不经  ，  或  由于  #太 过#  幼稚  而  显得  原始  笨拙  ，  都  使  初  来  者  始而  瞠目结舌  ，  继而  哑然失笑  。	太过
