id	segmented_sentence	merged_word
1	乡镇企业  是  烟台  经济  的  “  半壁江山  ”  ，  去年  全市  完成  #增加 值#  ２９１．１亿元  ，  占  国内  生产  总值  的  ４０．２％  ，  提供  了  ６０％  的  县  级  财政收入  。	增加值
2	乡镇企业  是  烟台  经济  的  “  半壁江山  ”  ，  去年  全市  完成  增加  值  ２９１．１亿元  ，  占  国内  生产  总值  的  ４０．２％  ，  提供  了  ６０％  的  #县 级#  财政收入  。	县级
3	从  １９９６年  起  ，  市  财政  每年  #拿 出#  ４４０万元  ，  实施  精  准  种子  工程  ，  围绕  小麦  、  玉米  、  花生  、  甘薯  、  蔬菜  、  苹果  等  １０  大  专题  良种  的  选育  、  繁育  和  推广  进行  集中  攻关  ，  收到  显著  成效  。	拿出
4	从  １９９６年  起  ，  市  财政  每年  拿  出  ４４０万元  ，  实施  #精 准#  种子  工程  ，  围绕  小麦  、  玉米  、  花生  、  甘薯  、  蔬菜  、  苹果  等  １０  大  专题  良种  的  选育  、  繁育  和  推广  进行  集中  攻关  ，  收到  显著  成效  。	精准
5	烟台市  一方面  加大  财政  投入  ，  另一方面  ，  以  市场经济  的  思路  ，  调动  社会  各  方面  投资  的  积极性  ，  为  #精 准#  农业  施  足  “  底肥  ”  。	精准
6	烟台市  抓住  投入  、  科技  、  开放  和  龙头  企业  四个  关键  环节  大做文章  ，  使  #精 准#  农业  驶  入  了  优质  高效  的  “  快车  道  ”  。	精准
7	烟台市  抓住  投入  、  科技  、  开放  和  龙头  企业  四个  关键  环节  大做文章  ，  使  精  准  农业  #驶 入#  了  优质  高效  的  “  快车  道  ”  。	驶入
8	烟台市  抓住  投入  、  科技  、  开放  和  龙头  企业  四个  关键  环节  大做文章  ，  使  精  准  农业  驶  入  了  优质  高效  的  “  #快车 道#  ”  。	快车道
9	#驶 入#  『  快车  道  』  －  －  －  烟台  发展  现代  农业  纪实  （  下  ）	驶入
10	驶  入  『  #快车 道#  』  －  －  －  烟台  发展  现代  农业  纪实  （  下  ）	快车道
11	安徽省  农民  人均  耕地  仅  １．２亩  ，  大批  农村  剩余  劳力  被  束缚  在  土地  上  ，  成为  人均收入  #得 不 到#  大幅  提高  的  主要  原因  之一  。	得不到
12	本报  讯  安徽省  农村  土地  二轮  承包  以来  ，  深化  土地  承包  制度  改革  ，  部分  农民  从  长期  的  土地  束缚  中  解放  出来  ，  开始  “  转业  ”  ，  其中  非  农业  户  已  达  ６５．８万户  ，  兼  业  户  达  ３６７．７万户  ，  分别  占  农村  住户  总数  的  ５．６％  和  ３１．６％  ，  全省  已  有  １７．３万公顷  土地  通过  流转  与  其他  生产  要素  配置  ，  实现  了  进一步  优化  ，  １９９７年  全省  农民  人均收入  比  上年  增长  １２．５％  ，  比  全国  平均  增速  #高 出#  ５．６个百分点  。	高出
13	杭州铁路中心医院  是  #杭州 市#  级  医院  ，  也  努力  为  一线  职工  服务  。	杭州市
