word	pinyin	english	chinese	num_sentences_needed
番	fan1	"(classifier) (used after the verb 翻[fan1] to indicate how many times a quantity doubles, as in 翻一番[fan1 yi1 fan1] ""to double"")"	表示倍增次数的量词	7
会计	kuai4 ji4	accountancy	会计作为学科的理论体系	7
会计	kuai4 ji4	accounting	记录和核算财务业务的作业方法	7
查询	cha2 xun2	to check	核查或检查事实与资料	7
查询	cha2 xun2	to inquire	询问或打听情况	7
查询	cha2 xun2	to consult (a document etc)	查阅文献或参考资料	7
查询	cha2 xun2	inquiry	对某事进行调查或询问的行为	7
查询	cha2 xun2	query	提出的问题或检索请求	7
基础问题	ji1 chu3 wen4 ti2	basic issue	一般性的基本问题	7
基础问题	ji1 chu3 wen4 ti2	fundamental question	需要解决的根本性问题	7
