word	pinyin	english	chinese	num_sentences_needed
军用	jun1 yong4	military application	可用于军队应用的技术或器械	6
军民	jun1 min2	army-civilian	军队与民众的关系或结合	1
军民	jun1 min2	military-masses	军队与群众联合作战或协作的状态	6
军民	jun1 min2	military-civilian	军民一体化的体制或组织形式	6
杠杆	gang4 gan3	lever	用于撬动或起重的杠杆工具	6
杠杆	gang4 gan3	pry bar	撬动物体的小型撬棒	6
杠杆	gang4 gan3	crowbar	撬开门窗或物件用的撬棍	6
杠杆	gang4 gan3	financial leverage	借入资金放大投资回报的财务手段	6
机组	ji1 zu3	flight crew (on a plane)	负责驾驶和操作飞机的机组人员	1
机组	ji1 zu3	unit (apparatus)	作为整体的机械或设备组成单元	1
