word	pinyin	english	chinese	num_sentences_needed
越级	yue4 ji2	to skip a grade	跳级，升学或升职跳过一档	6
越级	yue4 ji2	to bypass ranks	绕过等级或程序行事	6
越级	yue4 ji2	to go over the head of one's boss	越过上级直接向更高层反映或请求	1
社论	she4 lun4	editorial (in a newspaper)	报纸或报刊的评论文章	1
搭载	da1 zai4	(of a vehicle) to carry (a passenger or payload)	载运乘客或货物	6
搭载	da1 zai4	(of a device or system) to be equipped with (a piece of hardware or software)	设备中装有或预置某项功能	6
回神	hui2 shen2	to collect one's thoughts (after being surprised or shocked)	从惊愕中恢复精神	6
回神	hui2 shen2	to snap out of it (after being lost in thought)	从走神或发呆中清醒过来	4
回数	hui2 shu4	number of times (sth happens)	某事发生的次数或反复次数	6
回数	hui2 shu4	number of chapters in a classical novel	古典小说中的章节数量统计	6
