word	pinyin	english	chinese	num_sentences_needed
当地居民	dang1 di4 ju1 min2	a local person	本地人	6
当地居民	dang1 di4 ju1 min2	the local population	某地的居民群体	6
前几天	qian2 ji3 tian1	a few days ago	几天之前	6
前几天	qian2 ji3 tian1	a few days before	某一时间点之前的几天	6
前几天	qian2 ji3 tian1	the past few days	最近的几天	6
前几天	qian2 ji3 tian1	the previous few days	先前的那几天	6
副主任	fu4 zhu3 ren4	deputy director	担任副职的主任	6
副主任	fu4 zhu3 ren4	assistant head	协助主要负责人处理工作的负责人	6
神女	Shen2 nu:3	The Goddess, 1934 silent film about a Shanghai prostitute, directed by 吳永剛|吴永刚[Wu2 Yong3 gang1]	1934年上海拍摄的默片《神女》	6
神女	shen2 nu:3	goddess	女神，神话或宗教中的女性神祇	6
