word	pinyin	english	chinese	num_sentences_needed
片	pian4	one-sided	片面的	8
片	pian4	classifier for slices, tablets, tract of land, area of water	计薄片、药片、地块等的量词	8
片	pian4	classifier for CDs, movies, DVDs etc	计光盘、影片等的量词	8
片	pian4	used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc	与一连用，计场景或氛围的量词	8
片	pian4	Kangxi radical 91	康熙部首第九十一	8
后面	hou4 mian5	the back; the rear; the last bit	物体或场所的后部	8
后面	hou4 mian5	later; afterwards	在时间上随后或之后	8
出席	chu1 xi2	to attend	到场出席会议或活动	8
出席	chu1 xi2	to participate	参与活动或讨论	3
出席	chu1 xi2	present	在场的	8
