word	pinyin	english	chinese	num_sentences_needed
自拍	zi4 pai1	to take a picture or video of oneself; to take a selfie	自己拍摄照片或视频	7
自拍	zi4 pai1	a selfie	自己拍的照片或影像	7
以免	yi3 mian3	in order to avoid	为了避免某种情况发生	2
以免	yi3 mian3	so as not to	以防止发生某事	7
煽动	shan1 dong4	to incite	公开煽动他人采取行动	7
煽动	shan1 dong4	to instigate	挑唆教唆促使他人实施不当行为	7
尚书	shang4 shu1	high official	古代的高级官员	7
尚书	shang4 shu1	government minister	政府的部长级官员	7
首要	shou3 yao4	the most important	最重要的，首要的	1
首要	shou3 yao4	of chief importance	具有关键性或首要地位	7
