word	pinyin	english	chinese	num_sentences_needed
运算	yun4 suan4	(mathematical) operation	数学中的运算过程或规则	1
发扬	fa1 yang2	to develop	使优良传统或事业发展壮大	6
发扬	fa1 yang2	to make full use of	充分利用并发挥既有长处	6
劳动人民	lao2 dong4 ren2 min2	working people	实际从事劳动的人民群众	6
劳动人民	lao2 dong4 ren2 min2	the workers of Socialist theory or of the glorious Chinese past	政治理论中指被颂扬的工人阶级	6
动物学	dong4 wu4 xue2	zoological	与动物研究有关的学术领域的	6
动物学	dong4 wu4 xue2	zoology	研究动物及其生理生态的学科	6
鼓	gu3	drum	用以击打发声的乐器	6
鼓	gu3	to drum	击鼓发声或伴奏	6
鼓	gu3	to strike	敲打或猛击	6
