word	pinyin	english	chinese	num_sentences_needed
不够	bu4 gou4	insufficient	不足以满足需要，不充分	8
不够	bu4 gou4	inadequate	条件或能力不达标，不适宜	8
过人	guo4 ren2	to surpass others; outstanding	超过他人，出类拔萃	7
过人	guo4 ren2	(basketball, soccer etc) to get past an opponent	在球类比赛中突破对方防守	8
看上	kan4 shang4	to look upon	视为	8
看上	kan4 shang4	to take a fancy to	对......产生好感	3
看上	kan4 shang4	to fall for	被吸引而爱上	8
地和	di4 hu2	(mahjong) earthly hand; a hand that is completed by a non-dealer on their first draw	麻将术语：闲家首抓即成的胡牌型	8
地和	di4 hu2	(mahjong) to obtain an earthly hand	在麻将中形成或胡到地和	8
坐	Zuo4	surname Zuo	坐姓	8
