word	pinyin	english	chinese	num_sentences_needed
场	chang2	classifier for events and happenings: spell, episode, bout	表示一段活动或回合的量词	8
场	chang3	large place used for a specific purpose	特定用途的大型场所	8
场	chang3	stage	舞台	8
场	chang3	scene (of a play)	剧中一幕的场景	8
场	chang3	classifier for sporting or recreational activities	表示体育或娱乐活动场次的量词	8
场	chang3	classifier for number of exams	表示考试次数的量词	8
消息	xiao1 xi5	message	传达的信息或音信	3
大量	da4 liang4	large quantity	批量庞大	8
大量	da4 liang4	bulk	主体部分；大多数	8
大量	da4 liang4	numerous	人数或数量众多	8
