word	pinyin	english	chinese	num_sentences_needed
流行	liu2 xing2	fashionable	符合当前时尚潮流	7
手术	shou3 shu4	(surgical) operation	外科手术的具体操作	7
预期	yu4 qi1	to expect	期望或预计将发生的事	7
预期	yu4 qi1	to anticipate	预先期待并作出准备	4
托	tuo1	to hold up in one's hand; to support with one's palm	用手掌托举支撑物体	7
托	tuo1	sth serving as a support: a prop, a rest (e.g. arm rest)	作为支撑用的托架或靠垫	7
托	tuo1	(bound form) a shill	假扮顾客以吸引他人的托儿	7
托	tuo1	to ask; to beg; to entrust (variant of 託|托[tuo1])	请求代办或委托他人办事	7
托	tuo1	torr (unit of pressure)	压力单位托尔	7
托	tuo1	to trust	信任或信赖他人	7
