word	pinyin	english	chinese	num_sentences_needed
郊区	Jiao1 Qu1	Jiao District or Jiaoqu, a district of Yangquan City 陽泉市|阳泉市[Yang2 quan2 Shi4], Shanxi	山西阳泉市郊区	7
郊区	Jiao1 Qu1	Jiao District or Jiaoqu, a district of Changzhi City 長治市|长治市[Chang2 zhi4 Shi4], Shanxi	山西长治市郊区	7
郊区	jiao1 qu1	suburban district; outskirts; suburbs	郊区或郊外	7
支配	zhi1 pei4	to control	控制并支配某人或事物	2
支配	zhi1 pei4	to dominate	在权力上压倒或统治	7
支配	zhi1 pei4	to allocate	分配资源或任务	5
改称	gai3 cheng1	to change a name	更改官方名称	7
改称	gai3 cheng1	to rename	给人或事物起新名字	7
粗	cu1	(of sth long) wide; thick	长形物体的宽厚程度	7
粗	cu1	(of sth granular) coarse	颗粒状物体粒度较大	7
