word	pinyin	english	chinese	num_sentences_needed
区间	qu1 jian1	(math.) interval	数学上的区间或区段	6
直言	zhi2 yan2	to speak forthrightly	坦率直言	1
直言	zhi2 yan2	to talk bluntly	直截了当地表达意见	6
相见	xiang1 jian4	to see each other	互相见面或碰面	6
相见	xiang1 jian4	to meet in person	亲自会面	6
丰田	Feng1 tian2	Toyota or Toyoda (name)	丰田作为人名或姓氏	6
丰田	Feng1 tian2	Toyota, Japanese car make	日本汽车品牌丰田	6
豆瓣	Dou4 ban4	Douban, a Chinese social networking website	豆瓣网站	6
豆瓣	dou4 ban4	cotyledon of a bean or pea (i.e. either of the halves of a bean or pea)	豆类的子叶	6
豆瓣	dou4 ban4	thick bean sauce (abbr. for 豆瓣醬|豆瓣酱[dou4 ban4 jiang4])	用豆子制成的稠状酱	6
