word	pinyin	english	chinese	num_sentences_needed
滨海	Bin1 hai3	Binhai county in Yancheng 鹽城|盐城[Yan2 cheng2], Jiangsu	江苏盐城的滨海县	6
滨海	Bin1 hai3	fictitious city Binhai in political satire	讽刺作品中的虚构城市滨海	6
滨海	Bin1 hai3	Primorsky, a territory in the far east of Russia	俄罗斯远东的滨海边疆区	6
滨海	bin1 hai3	coastal	沿海的	6
滨海	bin1 hai3	bordering the sea	濒临海洋的	6
不快	bu4 kuai4	unhappy	不高兴，心情不好	6
不快	bu4 kuai4	in low spirits	情绪低落，闷闷不乐	6
不快	bu4 kuai4	(of a knife) not sharp	刀刃不锋利，钝的	6
哈萨克	Ha1 sa4 ke4	Kazakh	与哈萨克族或其文化相关的	6
哈萨克	Ha1 sa4 ke4	(Tw, HK) Kazakhstan	中亚国家哈萨克斯坦	6
