word	pinyin	english	chinese	num_sentences_needed
经卷	jing1 juan4	volumes of classics	古代经典著作的册卷	6
经卷	jing1 juan4	volumes of scriptures	宗教经书的卷册	6
经卷	jing1 juan4	ancient scrolls	古代手写或卷轴书籍	6
帽	mao4	hat	有檐的帽子	6
帽	mao4	cap	无檐的便帽	6
学堂	xue2 tang2	college	学院或专门学校	1
学堂	xue2 tang2	school (old)	旧时对学校的称呼	6
新政	xin1 zheng4	new policy	新的政策或施政措施	6
新政	xin1 zheng4	New Deal (Roosevelt's 1933 policy to deal with the Great Depression)	罗斯福时期的经济救济新政	6
安息	An1 xi1	Parthia (ancient country in central Asia)	古代中亚的安息国	6
