word	pinyin	english	chinese	num_sentences_needed
同人	tong2 ren2	people from the same workplace or profession; co-worker; colleague	同一单位或行业的同行或同事	7
同人	tong2 ren2	(fandom) fan creator or enthusiast involved in derivative works (e.g. fan fiction, fan art)	同人创作者或同人作品爱好者	7
吸	xi1	to breathe	呼吸空气的动作	7
吸	xi1	to suck in	将物体吸入或吸进	7
吸	xi1	to absorb	吸收并渗入或同化	7
吸	xi1	to inhale	吸入气体或烟雾	7
涨	zhang3	to rise (of prices, rivers)	价格或水位等上升增长	7
涨	zhang4	to swell	身体部位或物体肿胀鼓起	7
涨	zhang4	to distend	体积或表面向外膨胀隆起	7
造型	zao4 xing2	appearance; style; design; form; pose	外观风格、造型或姿态	7
