word	pinyin	english	chinese	num_sentences_needed
一连串	yi1 lian2 chuan4	a succession of	接连的许多事物	6
一连串	yi1 lian2 chuan4	a series of	一系列相关联的事物	6
家传	jia1 chuan2	handed down in a family	世代相传的技艺或物件	3
家传	jia1 chuan2	family traditions	家族世代沿袭的传统习俗	6
家传	jia1 zhuan4	family history (as a literary genre)	记述家族历史的文学体裁	6
客车	ke4 che1	coach	长途旅客用汽车	6
客车	ke4 che1	bus	城市或城际公共汽车	6
客车	ke4 che1	passenger train	载客的火车或旅客列车	1
上天	shang4 tian1	Heaven; Providence; God	至高无上的天或上帝	1
上天	shang4 tian1	the sky above	头顶的广阔天空	6
