word	pinyin	english	chinese	num_sentences_needed
军火	jun1 huo3	weapons and ammunition	武器与弹药	6
军火	jun1 huo3	munitions	军用弹药和爆炸物	6
军火	jun1 huo3	arms	作战使用的武器装备	1
军事体育	jun1 shi4 ti3 yu4	military sports	军队内部举行的体育比赛项目	6
军事体育	jun1 shi4 ti3 yu4	military fitness (curriculum etc)	军校或部队的体能训练课程	6
军事体育	jun1 shi4 ti3 yu4	abbr. to 軍體|军体	军队体能与体育训练的总称	6
标的	biao1 di4	target	瞄准的目标	6
标的	biao1 di4	aim	行动或努力的意图方向	6
标的	biao1 di4	what one hopes to gain	期望获得的利益或成果	6
急救	ji2 jiu4	to give emergency treatment	对伤病者进行紧急处理救护	6
