word	pinyin	english	chinese	num_sentences_needed
信任	xin4 ren4	to trust	信赖或相信某人或某物	4
信任	xin4 ren4	to have confidence in	对某人能力或品格抱有信心	7
黄金	huang2 jin1	gold	贵金属金	7
黄金	huang2 jin1	golden (opportunity)	宝贵而难得的机会	7
黄金	huang2 jin1	prime (time)	最好的时期或鼎盛时段	7
做工作	zuo4 gong1 zuo4	to do one's work	从事本职工作	7
做工作	zuo4 gong1 zuo4	to work on sb	对某人进行影响或争取	7
做工作	zuo4 gong1 zuo4	to try to persuade sb	尝试说服某人	7
出问题	chu1 wen4 ti2	to have sth go wrong	发生故障或不正常情况	7
出问题	chu1 wen4 ti2	to have a problem arise	出现意料之外的麻烦或问题	7
