word	pinyin	english	chinese	num_sentences_needed
车钱	che1 qian2	transport costs	运输过程产生的费用	7
转好	zhuan3 hao3	improvement	情况逐渐好转	7
转好	zhuan3 hao3	turnaround (for the better)	形势或业绩明显回升	7
转去	zhuan4 qu4	to return	把某物或某人送回原处	7
转去	zhuan4 qu4	to go back	回到先前地点或返回出发地	7
武	Wu3	surname Wu	武姓	7
氏	shi4	"(bound form) family name; surname (as in 王氏[Wang2 shi4] ""the Wang clan"")"	姓氏	7
氏	shi4	(bound form) honorific suffix added to the surname or full name of a notable person, esp. historical or scholarly figures	附于姓名后的尊称后缀	7
老路	lao3 lu4	old road	年久的道路或旧时通道	1
老路	lao3 lu4	familiar way	熟悉常走的路或途径	7
