word	pinyin	english	chinese	num_sentences_needed
门槛	men2 kan3	sill	门窗下方的横梁或过梁	7
门槛	men2 kan3	threshold	进入或开始的界限或门槛	7
门槛	men2 kan3	fig. knack or trick (esp. scheme to get sth cheaper)	获取便宜的诀窍或门道	7
开拓	kai1 tuo4	to break new ground (for agriculture)	开垦荒地用于耕种	7
开拓	kai1 tuo4	to open up (a new seam)	打通新的矿层或矿脉	7
开拓	kai1 tuo4	to develop (border regions)	开发边远或边疆地区	7
开拓	kai1 tuo4	fig. to open up (new horizons)	开辟新的领域或前景	7
有责任	you3 ze2 ren4	liable	依法应承担的责任	7
有责任	you3 ze2 ren4	responsible	对他人或事务负有职责	7
世代	shi4 dai4	for many generations	持续许多世代	2
