word	pinyin	english	chinese	num_sentences_needed
比赛场	bi3 sai4 chang3	playing field for a competition	供比赛使用的运动场或场地	6
活好	huo2 hao3	to live (one's life) well	生活过得舒适或体面	6
活好	huo2 hao3	(slang) to be good in bed	床上表现出色的俗称	6
梦见	meng4 jian4	to dream about (sth or sb)	在梦中梦到某人或某事	6
梦见	meng4 jian4	to see in a dream	在睡梦中见到或遇见	6
要死	yao4 si3	extremely	非常极度	6
要死	yao4 si3	awfully	极其痛苦或糟糕	4
打仗	da3 zhang4	to fight a battle	进行战斗	6
打仗	da3 zhang4	to go to war	发动或参战	6
打包	da3 bao1	to wrap; to pack	将物品包好或捆扎打包	1
