word	pinyin	english	chinese	num_sentences_needed
文库	wen2 ku4	book series	出版的丛书或系列图书	6
文库	wen2 ku4	sequence of data, esp. genome	按序排列的数据序列，尤指基因组	6
学问	xue2 wen4	a body of specialized knowledge (CL:門|门[men2]); (fig.) any activity that demands expertise, skill or experience (e.g. gathering forensic evidence, selecting clothing, managing relationships)	特定领域的专业知识或技艺门类	6
安抚	an1 fu3	to placate	用安慰平息对方情绪	6
安抚	an1 fu3	to pacify	安定秩序或平息骚动	6
安抚	an1 fu3	to appease	通过让步或慰藉缓和矛盾	6
完工	wan2 gong1	to finish work	完成工作任务	6
完工	wan2 gong1	to complete a project	完成工程或项目的全部程序	1
景	Jing3	surname Jing	景姓	6
景	jing3	(bound form) scenery	自然或人造的景色	6
