word	pinyin	english	chinese	num_sentences_needed
红军	Hong2 jun1	Red Army (1928-1937), predecessor of the PLA	1928—1937年的中国工农红军	7
红军	Hong2 jun1	(Soviet) Red Army (1917-1946)	1917—1946年的苏联红军	7
新增	xin1 zeng1	to add (sth new)	增加新的事物或项目	7
新增	xin1 zeng1	newly added; additional	新增加的或附带的	7
宗旨	zong1 zhi3	objective	根本的宗旨或出发点	7
宗旨	zong1 zhi3	aim	具体的行动目的或意图	7
宗旨	zong1 zhi3	goal	期望达到的最终目标	7
宣称	xuan1 cheng1	to assert	公开断言某事为真	2
宣称	xuan1 cheng1	to claim	提出未经证实的主张或说法	7
开走	kai1 zou3	to go (of car, train etc)	车辆或列车启动离开	7
