word	pinyin	english	chinese	num_sentences_needed
宜	yi2	should	表示义务或建议的助动词	6
宜	yi2	suitable	适宜于某种用途或情况	6
宜	yi2	appropriate	适合特定场合或目的	6
开脸	kai1 lian3	(of a bride-to-be) to remove facial hair and trim hairline (old)	新娘剃除面部毛发并修饰发际（旧俗）	5
开脸	kai1 lian3	to carve a face	雕刻或刻画人脸形象	5
上报	shang4 bao4	to report to one's superiors	向上级汇报情况	1
上报	shang4 bao4	to appear in the news	被媒体或报刊报道	5
上报	shang4 bao4	to reply to a letter	回信或答复来函	6
上方	shang4 fang1	place above (it)	位于上方的位置	6
上方	shang4 fang1	upper part (of it)	事物的上部	6
