word	pinyin	english	chinese	num_sentences_needed
整治	zheng3 zhi4	to regulate	进行规范或调节	6
整治	zheng3 zhi4	to restore to good condition	修复并恢复良好状态	6
整治	zheng3 zhi4	to prepare (a meal etc)	准备一餐或制作食物	6
晋	Jin4	surname Jin	晋姓	6
晋	Jin4	the Jin Dynasties (265–420)	晋朝，公元265–420年间的政权	6
晋	Jin4	Western Jin 西晉|西晋[Xi1 Jin4] (265–316), Eastern Jin 東晉|东晋[Dong1 Jin4] (317–420) and Later Jin Dynasty (936–946)	指西晋、东晋及相关晋代的统称	6
晋	Jin4	short name for Shanxi province 山西[Shan1 xi1]	山西省的简称	6
晋	jin4	to move forward	向前移动	6
晋	jin4	to promote	使职位或地位上升提拔	6
晋	jin4	to advance	自身获得晋升或进步	6
