word	pinyin	english	chinese	num_sentences_needed
练	lian4	exercise	锻炼身体或技能的活动	7
练	lian4	(literary) white silk	白色细绢古称	7
练	lian4	to boil and scour raw silk	煮洗并洁净生丝	7
吉	Ji2	surname Ji	吉姓	7
吉	ji2	lucky	吉利，带来好运	7
吉	ji2	giga- (meaning billion or 10^9)	表示十亿倍的前缀	7
通用	tong1 yong4	to use anywhere, anytime (card, ticket etc)	在任处均可使用	7
通用	tong1 yong4	to be used by everyone (language, textbook etc)	为大众普遍使用	7
通用	tong1 yong4	(of two or more things) interchangeable	可以互换使用	7
汉	Han4	Han ethnic group	汉族	7
