word	pinyin	english	chinese	num_sentences_needed
偏	pian1	prejudiced	有偏见的	7
偏	pian1	to deviate from average	偏离平均值	7
偏	pian1	to stray from the intended line	偏离预定路线或方向	7
偏	pian1	stubbornly	固执地偏向某一面	7
偏	pian1	contrary to expectations	出乎意料地相反	7
没有法	mei2 you3 fa3	at a loss	不知所措	7
没有法	mei2 you3 fa3	unable to do anything about it	无法采取行动	7
没有法	mei2 you3 fa3	to have no choice	别无选择	7
没办法	mei2 ban4 fa3	there is nothing to be done	没有可行的办法	7
没办法	mei2 ban4 fa3	one can't do anything about it	对此无能为力，无可奈何	7
