word	pinyin	english	chinese	num_sentences_needed
坑	keng1	(mining) pit; shaft; tunnel	矿井中的竖井或巷道	7
坑	keng1	(literary) to bury alive	活埋致死	7
坑	keng1	(coll.) to cheat; to scam; to screw over	欺骗或占人便宜的行为	7
元素	yuan2 su4	element (key component of sth)	构成事物的基本要素	2
元素	yuan2 su4	(chemistry) element	化学上的元素	7
元素	yuan2 su4	(math.) element (member of a set)	集合中的成员元素	7
靠近	kao4 jin4	to be close to	处于靠近的静态位置	7
大胆	da4 dan3	brazen	厚颜无耻的大胆	7
大胆	da4 dan3	audacious	鲁莽冒失的大胆	7
大胆	da4 dan3	outrageous	令人震惊或骇人的大胆	7
