word	pinyin	english	chinese	num_sentences_needed
保守	bao3 shou3	to guard	防守或守护以保安全	3
保守	bao3 shou3	to keep	不轻易改变或外泄	7
备	bei4	(bound form) to prepare; to equip	准备或配备所需物资	7
备	bei4	(literary) fully; completely	完全周备充分无缺	7
蒐	sou1	(literary) madder (Rubia cordifolia)	茜草类染料植物	7
蒐	sou1	(literary) to hunt during spring	春季进行的狩猎活动	7
黑龙江	Hei1 long2 jiang1	Heilong River or Amur River, forming the border between northeast China and Russia	中俄边界的河流	7
甚	shen4	excessive; undue	过分或超出适度	7
甚	shen4	to exceed; to be more than	超过某一限度或数量更多	7
甚	shen4	very; extremely	程度很高非常	7
