word	pinyin	english	chinese	num_sentences_needed
炮弹	pao4 dan4	artillery shell	由火炮发射的弹丸或炸药弹	6
发包	fa1 bao1	to put out to contract	将工程或业务承包给他人	2
发包	fa4 bao1	bun hair extension	用于盘发的假发髻装饰	6
白事	bai2 shi4	funeral	丧事，葬礼及相关仪式	1
白事	bai2 shi4	to explain (literary)	文言中表示解释或说明	6
白银	bai2 yin2	silver	贵重金属银	1
包干	bao1 gan1	to have the full responsibility of a job	承担某项工作的全部责任	6
包干	bao1 gan1	allocated task	分配下来的具体任务	6
汇总	hui4 zong3	to collect and summarize; to aggregate (data, reports etc)	收集并汇总资料或数据	6
直达	zhi2 da2	to reach (a place) directly	直接到达目的地	6
