word	pinyin	english	chinese	num_sentences_needed
帅	shuai4	(Chinese chess) general (on the red side, equivalent to a king in Western chess)	象棋中红方的帅子	7
口袋	kou3 dai4	pocket	衣物或包上的小口袋	7
口袋	kou3 dai4	bag; sack	装物品用的小布袋或袋子	7
乐器	yue4 qi4	musical instrument	演奏用的乐器	2
连天	lian2 tian1	reaching the sky	一直延伸到天空或天际	4
连天	lian2 tian1	for days on end	连续多日	6
连天	lian2 tian1	incessantly	不停歇地持续发生	7
怀念	huai2 nian4	to cherish the memory of	深切怀念某人或往事	7
怀念	huai2 nian4	to think of	思念某人或某事	2
怀念	huai2 nian4	to reminisce	追忆往昔并表达思绪	7
