word	pinyin	english	chinese	num_sentences_needed
用语	yong4 yu3	choice of words	词语选择	6
用语	yong4 yu3	wording	措辞	4
用语	yong4 yu3	phraseology	用语习惯或表达方式	6
行政权	xing2 zheng4 quan2	administrative authority	行使行政管理的权力	6
行政权	xing2 zheng4 quan2	executive power	政府的执行或统治权力	6
行权	xing2 quan2	(literary) to act expediently	采取权宜之计以达目的	6
行权	xing2 quan2	(finance) to exercise an option	行使期权或选择权的行为	6
创造性	chuang4 zao4 xing4	creativeness	富有独创性的特质	6
创造性	chuang4 zao4 xing4	creativity	展现创新能力的特点	6
授课	shou4 ke4	to teach	为学生讲授课程内容	6
