word	pinyin	english	chinese	num_sentences_needed
战胜	zhan4 sheng4	to defeat	击败敌人	7
战胜	zhan4 sheng4	to surmount	克服困难	7
抱怨	bao4 yuan4	to complain	表达不满或投诉	7
抱怨	bao4 yuan4	to grumble	低声埋怨抱屈	7
抱怨	bao4 yuan4	to harbor a complaint	心中怀有怨言不满	7
抱怨	bao4 yuan4	to feel dissatisfied	对现状感到不满意	7
生活方式	sheng1 huo2 fang1 shi4	way of life	日常生活的习惯与安排	7
生活方式	sheng1 huo2 fang1 shi4	lifestyle	个人或群体的生活格调与方式	7
生活资料	sheng1 huo2 zi1 liao4	consumer goods	消费品或日常用品	7
生活资料	sheng1 huo2 zi1 liao4	means of livelihood	谋生资料或生计来源	7
