word	pinyin	english	chinese	num_sentences_needed
瘦	shou4	to lose weight	减轻体重变瘦	7
瘦	shou4	(of clothing) tight	衣物紧身贴体	7
瘦	shou4	(of meat) lean	肉质瘦少无脂肪	7
瘦	shou4	(of land) unproductive	土地贫瘠产量低	7
腰	yao1	the waist and lower back	腰部及下背部	7
腰	yao1	(bound form) kidney of an animal (as food)	作为食材的动物腰子	7
腰	yao1	the waist of trousers or a skirt	裤腰或裙腰的部位	7
腰	yao1	(metonym) money pouch; pocket	钱袋或口袋借指金钱	7
腰	yao1	(bound form) the middle section of an upright object (mountain, bottle etc)	竖直物体的中间段或腰部	7
传出	chuan2 chu1	to transmit outwards	向外传送	7
