word	pinyin	english	chinese	num_sentences_needed
毛巾	mao2 jin1	towel	擦拭用的布巾	6
大小姐	da4 xiao3 jie5	eldest daughter of an affluent family	富贵人家的长女	6
大小姐	da4 xiao3 jie5	(polite) your daughter	对人家女儿的礼貌称呼	6
大小姐	da4 xiao3 jie5	bossy or indulged young woman	被宠坏且任性的年轻女子	6
大小姐	da4 xiao3 jie5	Miss High and Mighty	盛气凌人的小姐	6
流畅	liu2 chang4	flowing (of speech, writing)	言语或文章自然连贯顺畅	6
流畅	liu2 chang4	fluent	口语或技能流利熟练	6
流畅	liu2 chang4	smooth and easy	过程或动作进行顺利无阻	6
顶部	ding3 bu4	roof	物体或构筑物的上端部位	6
顶部	ding3 bu4	topmost part	最高处或最上层的位置	6
