word	pinyin	english	chinese	num_sentences_needed
有意义	you3 yi4 yi4	to have significance	对事物具有重要性或影响	7
有意义	you3 yi4 yi4	meaningful	富有内涵，发人深省	7
有意义	you3 yi4 yi4	significant	在数量或程度上显著	7
有意义	you3 yi4 yi4	worthwhile	值得投入时间或精力	7
有意义	you3 yi4 yi4	important	十分重要，须加重视	7
有意义	you3 yi4 yi4	interesting	能引起兴趣或关注	7
本本	ben3 ben3	notebook computer (diminutive)	小型笔记本电脑	7
本本	ben3 ben3	laptop	便携式笔记本电脑	7
人民法院	ren2 min2 fa3 yuan4	people's court (of law)	国家设立的审判机关	7
人民法院	ren2 min2 fa3 yuan4	people's tribunal	审理案件的人民法庭机构	7
