word	pinyin	english	chinese	num_sentences_needed
台	tai2	support	支持或扶持	9
台	tai2	station	车站或站点	9
台	tai2	broadcasting station	广播电台	9
台	tai2	classifier for vehicles or machines	用于车辆或机器的量词	9
台	tai2	typhoon	台风	9
负责	fu4 ze2	to be responsible for; to be in charge of; to bear responsibility for	对某事承担职责或管理	1
负责	fu4 ze2	conscientious	做事认真细致，尽职尽责	8
受到	shou4 dao4	to receive (praise, an education, punishment etc)	接受（表扬、教育、惩罚等）	9
受到	shou4 dao4	to be ...ed (praised, educated, punished etc)	遭到（表扬、教育、惩罚等）	9
家庭	jia1 ting2	family	家庭单位	4
