word	pinyin	english	chinese	num_sentences_needed
金刚	jin1 gang1	guardian deity (in Buddhist iconography)	佛教中的护法或守护神像	4
敬	jing4	(bound form) respectful; to respect	表示尊重或敬意	6
敬	jing4	to offer politely	恭敬地呈献或奉上	6
懒	lan3	lazy	不愿劳动或行动的，懒惰的	6
字样	zi4 yang4	model or template character	样本字或模板字形	5
字样	zi4 yang4	written slogan or phrase	文字标语或短语	1
字样	zi4 yang4	"mention (e.g. ""air mail"" 航空 on a letter, ""first draft"" 初稿 on a document etc)"	文件或信件上注明的标注文字	6
孤单	gu1 dan1	lone	单独一人的状态	6
孤单	gu1 dan1	lonely	感到孤独寂寞的	6
孤单	gu1 dan1	loneliness	孤独寂寞的感觉	6
