word	pinyin	english	chinese	num_sentences_needed
算不了	suan4 bu4 liao3	does not count for anything	根本不算数毫无分量	6
算不了	suan4 bu4 liao3	of no account	无足轻重不被重视	6
注销	zhu4 xiao1	to cancel; to annul; to deregister	取消登记或使资格失效	1
注销	zhu4 xiao1	(accounting) to write off	会计上对资产或债务的冲销处理	6
难堪	nan2 kan1	hard to take	局面令人无法承受	6
难堪	nan2 kan1	embarrassed	尴尬难为情	6
复听	fu4 ting1	double hearing	听觉上出现双重感受	6
复听	fu4 ting1	diplacusis	医学上指听觉产生双音感的症状	6
双胞胎	shuang1 bao1 tai1	twin	同时出生的两名婴儿	6
双腿	shuang1 tui3	legs	腿部的统称	6
