word	pinyin	english	chinese	num_sentences_needed
行李	xing2 li5	luggage	旅行时携带的行装	2
裁判	cai2 pan4	(law) to judge; to adjudicate; verdict; judgement	在法律上审理案件并作出判决	7
裁判	cai2 pan4	(sports) to referee	在体育比赛中担任并执行裁判职责	7
裁判	cai2 pan4	(sports) umpire; referee; judge	体育比赛中的裁判员	7
疼痛	teng2 tong4	pain	痛苦的感觉	7
疼痛	teng2 tong4	(of a body part) to be painful; to be sore; to hurt	身体部位感到疼痛	7
疼痛	teng2 tong4	(of a person) to be in pain	人感到痛苦或悲痛	7
附加	fu4 jia1	additional	额外增加的或附带的	6
附加	fu4 jia1	annex	附属的附录或附带建筑	7
侧	ce4	the side	侧边或一侧	7
