word	pinyin	english	chinese	num_sentences_needed
关上	guan1 shang4	to turn off (light, electrical equipment etc)	关掉灯或电器	6
专职	zhuan1 zhi2	special duty	专门负责的职务或岗位	2
专职	zhuan1 zhi2	assigned full time to a task	被指派全职从事某项工作	6
本市	ben3 shi4	this city	本市 當前所在城市	6
本市	ben3 shi4	our city	我市 我們所屬的城市	6
中班	zhong1 ban1	middle shift; swing shift; early night shift	工人或职员的中间班次或值班时段	1
中班	zhong1 ban1	middle class in kindergarten (4–5 year olds)	幼儿园中等年龄组（约四五岁）	2
东北大学	Dong1 bei3 Da4 xue2	Northeastern University (in Shenyang 瀋陽市|沈阳市[Shen3 yang2 shi4], Liaoning)	辽宁沈阳的东北大学	6
东北大学	Dong1 bei3 Da4 xue2	Tōhoku University, Sendai, Japan	日本仙台的东北大学	6
久经	jiu3 jing1	to have long experience of	历经长期实践或累积经验	6
