word	pinyin	english	chinese	num_sentences_needed
玩意	wan2 yi4	thing	泛指某件东西或物品	6
玩意	wan2 yi4	act	做给人看的表演动作或花招	6
玩意	wan2 yi4	trick (in a performance, stage show, acrobatics etc)	演出或杂技中的技巧把戏	6
玩转	wan2 zhuan4	to know all the ins and outs of sth	精通并能熟练操作某事物	6
玩转	wan2 zhuan4	to get to know (a place) inside out	把某地或某行业彻底熟悉掌握	6
做脸	zuo4 lian3	to win honor	得到荣誉或表彰	6
做脸	zuo4 lian3	to put on a stern face	摆出严厉的面色	6
做脸	zuo4 lian3	to have a facial (beauty treatment)	接受面部美容护理	6
理所当然	li3 suo3 dang1 ran2	as it should be by rights (idiom); proper and to be expected as a matter of course	按理应当如此合乎情理	6
理所当然	li3 suo3 dang1 ran2	inevitable and right	必然发生且无法避免的情形	6
