word	pinyin	english	chinese	num_sentences_needed
士	shi4	noncommissioned officer	军队中的士官下级军士	7
士	shi4	specialist worker	熟练的技术工人或工匠	7
大哥	da4 ge1	eldest brother	家中排行最大的兄长	2
大哥	da4 ge1	big brother (polite address for a man of about the same age as oneself)	对年近同龄男子的尊称	4
大哥	da4 ge1	gang leader; boss	黑社会或帮派的头目	7
六月	Liu4 yue4	June	公历的第六个月	7
六月	Liu4 yue4	sixth month (of the lunar year)	农历或阴历的第六个月	7
混	hun2	muddy; turbid (variant of 渾|浑[hun2])	浑浊	7
混	hun2	brainless; foolish (variant of 渾|浑[hun2])	愚蠢无知	7
混	hun4	to mix	混合	7
