word	pinyin	english	chinese	num_sentences_needed
曙光	shu3 guang1	(fig.) glimmer of hope after a dark period; a new beginning	绝境中的一线希望	6
更楼	geng1 lou2	watch tower	用于瞭望和守夜的塔楼	6
更楼	geng1 lou2	drum tower marking night watches	夜间击鼓报更的建筑物	6
书目	shu1 mu4	booklist	书籍的清单或目录	1
书目	shu1 mu4	bibliography	为研究整理的参考书目	6
书目	shu1 mu4	title catalogue	图书馆或馆藏的题名目录	6
家长会	jia1 zhang3 hui4	parent-teacher conference	家长与教师共同参加的会议	6
家长会	jia1 zhang3 hui4	parents' association	由家长组成的学校活动性组织	6
上声	shang3 sheng1	falling and rising tone	古汉语的上声读法	5
上声	shang3 sheng1	third tone in modern Mandarin	现代普通话的第三声	6
