word	pinyin	english	chinese	num_sentences_needed
对不上	dui4 bu4 shang4	to disagree	不一致或存在分歧	7
对不上	dui4 bu4 shang4	I can't agree with that.	我不同意	7
亦即	yi4 ji2	namely	也就是	7
亦即	yi4 ji2	that is	换言之即是	7
亮相	liang4 xiang4	to strike a pose (Chinese opera)	在戏曲中摆出姿态	7
亮相	liang4 xiang4	(fig.) to make a public appearance; to come out in public (revealing one's true personality, opinions etc); (of a product) to appear on the market or at a trade show etc	公开露面或首次向公众展示	2
仍旧	reng2 jiu4	still (remaining)	仍然存在	2
仍旧	reng2 jiu4	to remain (the same)	保持不变	7
仍旧	reng2 jiu4	yet	尚且仍然	7
对谈	dui4 tan2	to talk with sb (face to face)	当面与人交谈	7
