word	pinyin	english	chinese	num_sentences_needed
等等	deng3 deng3	et cetera	表示列举未尽的词语	8
等等	deng3 deng3	and so on ...	用于句末表示及其他类似事项	8
等等	deng3 deng3	wait a minute!	请稍等片刻	8
等等	deng3 deng3	hold on!	暂时停止或中断的要求	8
访问	fang3 wen4	to visit; to call on (a person or place)	拜访某人或某地	8
访问	fang3 wen4	(computing) to visit (a website); to access (a network resource etc)	访问网站或网络资源	8
访问	fang3 wen4	(Tw) to interview (e.g. for a report or feature story)	为报道而进行采访或访谈	8
评价	ping2 jia4	to assess	对表现或作品进行衡量和点评	8
明	Ming2	Ming Dynasty (1368–1644)	明朝	8
明	Ming2	surname Ming	明姓	8
