word	pinyin	english	chinese	num_sentences_needed
简易	jian3 yi4	simple and easy	简单易行	6
简易	jian3 yi4	simplistic	过于简单以致肤浅	6
摄像头	she4 xiang4 tou2	webcam	用于网络视频通话的摄像设备	6
摄像头	she4 xiang4 tou2	surveillance camera	用于监控的固定摄像装置	6
地形	di4 xing2	topography	地表形态及其起伏状况	6
地形	di4 xing2	landform	自然形成的地貌单元	6
政治正确	zheng4 zhi4 zheng4 que4	political correctness	避免冒犯弱势群体的言行规范	6
政治正确	zheng4 zhi4 zheng4 que4	politically correct	言论或行为符合主流政治规范	6
救济	jiu4 ji4	emergency relief	对灾民或贫困者的临时救助	6
救济	jiu4 ji4	to help the needy with cash or goods	向有困难者发放金钱或物资援助	4
