word	pinyin	english	chinese	num_sentences_needed
效果	xiao4 guo3	effect	产生的影响或后果	8
效果	xiao4 guo3	efficacy	措施或药物的疗效	8
效果	xiao4 guo3	(theater) sound or visual effects	舞台或影视的视听效果	8
文学	wen2 xue2	literature	文学作品及其研究与批评	8
统计	tong3 ji4	statistics	统计资料或统计学	8
统计	tong3 ji4	to count	对数量进行计算	2
统计	tong3 ji4	to add up	把数目相加得出总数	8
定	ding4	to fix; to set; to make definite	确定或设定，使之固定	8
定	ding4	to subscribe to (a newspaper etc); to book (tickets etc); to order (goods etc)	提前订购或订阅	8
定	ding4	to congeal; to coagulate	液体转为固体的凝结过程	8
