word	pinyin	english	chinese	num_sentences_needed
才	cai2	just now	刚才，方才	9
才	cai2	(before an expression of quantity) only	用于数词前表示仅有	9
才	cai2	(variant of 才[cai2]) just now	刚才的意思	9
才	cai2	(variant of 才[cai2]) (before an expression of quantity) only	仅仅，用于数量前	9
使用	shi3 yong4	to use	拿来使用或利用	9
使用	shi3 yong4	to employ	雇佣或任用某人	9
使用	shi3 yong4	to apply	把理论或方法付诸实施	9
使用	shi3 yong4	to make use of	加以运用以取得效用	7
活动	huo2 dong4	shaky; unsteady; loose (tooth etc)	松动不稳的状态	9
活动	huo2 dong4	(volcanic, seismic, economic etc) activity	地质或社会等方面的活动	9
