word	pinyin	english	chinese	num_sentences_needed
提案	ti2 an4	to propose a bill	向立法或会议提出法案	7
提案	ti2 an4	to make a proposal	提出意见或建议以供采纳	7
起飞	qi3 fei1	(of an aircraft or rocket) to take off; to lift off	飞机或火箭离地升空	2
起飞	qi3 fei1	(fig.) (of an enterprise etc) to start to develop rapidly	事业或事物开始迅速发展	3
国旗	guo2 qi2	flag (of a country)	代表国家的旗帜	7
圆	yuan2	circle	平面上的圆形或圆圈	7
圆	yuan2	round	外形整体为圆或近似圆的	7
圆	yuan2	circular	呈环状或环形分布的	7
圆	yuan2	spherical	呈球体形状的	7
圆	yuan2	(of the moon) full	月亮圆满可见的相位即满月	7
