word	pinyin	english	chinese	num_sentences_needed
回数	hui2 shu4	(math.) palindromic number	数学上的回文数字或回文数列	6
国家社会主义	guo2 jia1 she4 hui4 zhu3 yi4	national socialism	结合民族主义与国家控制的政治运动	6
国家社会主义	guo2 jia1 she4 hui4 zhu3 yi4	Nazism	纳粹主义，极端民族主义与种族主义思想	6
简洁	jian3 jie2	concise	用语简短	6
简洁	jian3 jie2	succinct	措辞精炼	6
简洁	jian3 jie2	pithy	言语简洁而有力	6
改图	gai3 tu2	to edit a picture; to modify an image	编辑或修改图片	6
改图	gai3 tu2	(literary) to change one's plans	改变原有计划	6
放线	fang4 xian4	(angling) to play a fish	垂钓时放出鱼线耗尽鱼力	6
放线	fang4 xian4	(kite-flying) to let the string out	放风筝时放出风筝线	6
