word	pinyin	english	chinese	num_sentences_needed
以此	yi3 ci3	because of this	因为这个原因	7
体会	ti3 hui4	to know from experience	通过经历而知道或体认	2
体会	ti3 hui4	to learn through experience	从实践中学习并获得经验	7
体会	ti3 hui4	to realize	在认识上有所觉悟或意识到	7
体会	ti3 hui4	understanding	对事物的理解或领悟程度	4
体会	ti3 hui4	experience	亲身经历后的感受与经验	7
使命	shi3 ming4	mission	交付的任务或使命	2
使命	shi3 ming4	long-term task to which one devotes oneself	长期奉献的职责或工作	7
使命	shi3 ming4	a calling	内心的天职或召唤感	7
物流	wu4 liu2	distribution (business)	商品分配与配送的经营活动	2
