word	pinyin	english	chinese	num_sentences_needed
太	tai4	very	非常很的程度词	9
太	tai4	extremely	极为程度极高	9
市场	shi4 chang3	(economics) market	经济学上供需交易的整体体系	9
者	zhe3	(after a verb or adjective) one who (is) ...	表示动作或性质的执行者	9
者	zhe3	(after a noun) person involved in ...	表示与某事有关的人	9
者	zhe3	-er	表示职业或身份的后缀	9
者	zhe3	-ist	表示主义者或从业者的后缀	9
者	zhe3	(used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously)	指前文提及的人或事	9
者	zhe3	(used after a term, to mark a pause before defining the term)	标示下文解释的停顿	9
者	zhe3	(old) (used at the end of a command)	古语中置于命令句末	9
