word	pinyin	english	chinese	num_sentences_needed
没事	mei2 shi4	never mind	别介意	7
没事	mei2 shi4	to have nothing to do	没有事情可做闲着	7
没事	mei2 shi4	to be free	有空闲时间	7
没事	mei2 shi4	to be all right (out of danger or trouble)	平安无事	7
塞	sai1	to plug; to stop up; to stuff in	把孔洞填住或堵住	7
塞	sai1	(bound form) a stopper; a cork	用于堵塞孔洞的栓或塞子	7
塞	sai4	(bound form) strategic stronghold	战略要塞或军事要冲	7
塞	se4	(bound form) to block; to obstruct	阻塞或妨碍通行或流动	7
西北	Xi1 bei3	Northwest China (Shaanxi, Gansu, Qinghai, Ningxia, Xinjiang)	中国西北地区包括陕甘青宁新	2
西北	xi1 bei3	northwest	方位上的西北方向	2
