word	pinyin	english	chinese	num_sentences_needed
捏	nie1	to fabricate (a story, a report, etc)	捏造或编造不真实的说法	6
欢呼	huan1 hu1	to cheer for	为某人或某事大声喝彩	1
欢呼	huan1 hu1	to acclaim	公开称赞或热烈欢迎	6
正统	Zheng4 tong3	Zhengtong Emperor, reign name of sixth Ming Emperor Zhu Qizhen 朱祁鎮|朱祁镇[Zhu1 Qi2 zhen4] (1427-1464), reigned 1435-1449, temple name Yingzong 英宗[Ying1 zong1]	明英宗朱祁镇的年号正统	6
正统	zheng4 tong3	orthodoxy; tradition	被认可的正统思想或传统	6
正统	zheng4 tong3	principles of dynastic succession	王朝继承的合法原则	6
正统	zheng4 tong3	(of an heir) legitimate	合法继承人，符合继承资格的	6
沙特	Sha1 te4	Saudi	沙特阿拉伯的简称	6
没脸	mei2 lian3	ashamed	感到羞愧	6
没脸	mei2 lian3	embarrassed	感到尴尬局促	6
